ref_area,reference_area,unit_measure,unit_of_measure,transport_mode,transport_mode_2,time_period,obs_value,obs_status,observation_status,unit_mult,unit_multiplier,observation_is_missing,observation_is_provisional,observation_is_estimated,observation_has_time_series_break
FIN,Finland,T,Tonnes,RAIL,Rail,2021,804,A,Normal value,3,Thousands,FALSE,FALSE,FALSE,FALSE
FIN,Finland,T,Tonnes,RAIL,Rail,2020,891,A,Normal value,3,Thousands,FALSE,FALSE,FALSE,FALSE
NLD,Netherlands,T,Tonnes,RAIL,Rail,2019,18484,A,Normal value,3,Thousands,FALSE,FALSE,FALSE,FALSE
ESP,Spain,TEU,Twenty-foot equivalent units,MAR,Maritime,2019,17435718,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
ESP,Spain,TEU,Twenty-foot equivalent units,MAR,Maritime,2022,17122705,P,Provisional value,0,Units,FALSE,TRUE,FALSE,FALSE
ESP,Spain,TEU,Twenty-foot equivalent units,MAR,Maritime,2021,17708797,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
BEL,Belgium,TEU,Twenty-foot equivalent units,MAR,Maritime,2022,12303821,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
BEL,Belgium,TEU,Twenty-foot equivalent units,MAR,Maritime,2021,12728236,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
LVA,Latvia,TEU,Twenty-foot equivalent units,MAR,Maritime,2019,470075,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
HRV,Croatia,TEU,Twenty-foot equivalent units,MAR,Maritime,2020,342963,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
HRV,Croatia,TEU,Twenty-foot equivalent units,MAR,Maritime,2019,331303,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
CAN,Canada,TEU,Twenty-foot equivalent units,RAIL,Rail,2019,4184417,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
CAN,Canada,TEU,Twenty-foot equivalent units,RAIL,Rail,2022,4139501,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
CAN,Canada,TEU,Twenty-foot equivalent units,RAIL,Rail,2021,4204635,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
GEO,Georgia,TEU,Twenty-foot equivalent units,MAR,Maritime,2019,647816,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
GEO,Georgia,TEU,Twenty-foot equivalent units,MAR,Maritime,2022,477094,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
GEO,Georgia,TEU,Twenty-foot equivalent units,MAR,Maritime,2021,401386,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
SWE,Sweden,TEU,Twenty-foot equivalent units,MAR,Maritime,2022,1270096,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
SWE,Sweden,TEU,Twenty-foot equivalent units,MAR,Maritime,2021,1290922,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
SWE,Sweden,TEU,Twenty-foot equivalent units,MAR,Maritime,2020,1209336,A,Normal value,0,Units,FALSE,FALSE,FALSE,FALSE
