parent_gem_entity_id,parent,parent_registration_country,parent_headquarters_country,project,share,ownership_path,immediate_project_owner,immediate_project_owner_gem_entity_id,tracker,status,capacity_bo_ed,project_id,capacity_boed_raw,share_numeric,share_missing,capacity_missing_or_placeholder,capacity_boed_numeric,exact_duplicate_flag,exact_duplicate_group_size,parent_entity_id_missing,parent_entity_id_matched,imm_owner_entity_id_missing,imm_owner_entity_id_matched
E100002011285,Resonac Holdings Corp,Japan,Japan,Iwafune-Oki Oil Pipeline,0.04,Resonac Holdings Corp -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> Mitsubishi UFJ Financial Group Inc [5.72%] -> Mitsubishi UFJ Trust and Banking Corp [100.0%] -> The Master Trust Bank of Japan Ltd [46.5%] -> Japan Petroleum Exploration Co [10.11%] -> Iwafune-Oki Oil Pipeline [100.0%],Japan Petroleum Exploration Co,E100000000645,Global Oil Infrastructure Tracker,operating,2500,P1009,2500,0.04,FALSE,FALSE,2500,FALSE,1,FALSE,TRUE,FALSE,TRUE
E100002011285,Resonac Holdings Corp,Japan,Japan,Satah-Zirku Island Oil Pipeline,0.11,Resonac Holdings Corp -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> INPEX Corp [5.47%] -> Japan Oil Development Co Ltd [100.0%] -> Satah-Zirku Island Oil Pipeline [12.0%],Japan Oil Development Co Ltd,E100002008094,Global Oil Infrastructure Tracker,operating,200000,P7227,200000,0.11,FALSE,FALSE,200000,FALSE,1,FALSE,TRUE,FALSE,TRUE
E100002011285,Resonac Holdings Corp,Japan,Japan,Umm Al Dalkh-Upper Zakum Oil Pipeline,0.11,Resonac Holdings Corp -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> INPEX Corp [5.47%] -> Japan Oil Development Co Ltd [100.0%] -> Umm Al Dalkh-Upper Zakum Oil Pipeline [12.0%],Japan Oil Development Co Ltd,E100002008094,Global Oil Infrastructure Tracker,operating,--,P7228,--,0.11,FALSE,TRUE,,FALSE,1,FALSE,TRUE,FALSE,TRUE
E100002011285,Resonac Holdings Corp,Japan,Japan,Baku-Supsa Oil Pipeline,0.09,Resonac Holdings Corp -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> INPEX Corp [5.47%] -> Azerbaijan International Operating Co [9.31%] -> Baku-Supsa Oil Pipeline [100.0%],Azerbaijan International Operating Co,E100001014222,Global Oil Infrastructure Tracker,idle,115000,P0643,115000,0.09,FALSE,FALSE,115000,FALSE,1,FALSE,TRUE,FALSE,TRUE
E100002011285,Resonac Holdings Corp,Japan,Japan,Baku-Supsa Oil Pipeline,0.09,Resonac Holdings Corp -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> INPEX Corp [5.47%] -> Azerbaijan International Operating Co [9.31%] -> Baku-Supsa Oil Pipeline [100.0%],Azerbaijan International Operating Co,E100001014222,Global Oil Infrastructure Tracker,idle,35000,P2019,35000,0.09,FALSE,FALSE,35000,FALSE,1,FALSE,TRUE,FALSE,TRUE
E100002011285,Resonac Holdings Corp,Japan,Japan,Chayvo-De-Kastri Oil Pipeline,0.04,Resonac Holdings Corp -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> Marubeni Corp [6.56%] -> Sakhalin Oil and Gas Development Co Ltd [12.35%] -> Chayvo-De-Kastri Oil Pipeline [30.0%],Sakhalin Oil and Gas Development Co Ltd,E100001016057,Global Oil Infrastructure Tracker,operating,240986.3,P3678,240986.3,0.04,FALSE,FALSE,240986.3,FALSE,1,FALSE,TRUE,FALSE,TRUE
E100002011285,Resonac Holdings Corp,Japan,Japan,Chayvo-De-Kastri Oil Pipeline,0.04,Resonac Holdings Corp -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> Marubeni Corp [6.56%] -> Sakhalin Oil and Gas Development Co Ltd [12.35%] -> Chayvo-De-Kastri Oil Pipeline [30.0%],Sakhalin Oil and Gas Development Co Ltd,E100001016057,Global Oil Infrastructure Tracker,operating,--,P3720,--,0.04,FALSE,TRUE,,FALSE,1,FALSE,TRUE,FALSE,TRUE
E100002011285,Resonac Holdings Corp,Japan,Japan,Chayvo-De-Kastri Oil Pipeline,0.04,Resonac Holdings Corp -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> Marubeni Corp [6.56%] -> Sakhalin Oil and Gas Development Co Ltd [12.35%] -> Chayvo-De-Kastri Oil Pipeline [30.0%],Sakhalin Oil and Gas Development Co Ltd,E100001016057,Global Oil Infrastructure Tracker,operating,--,P3721,--,0.04,FALSE,TRUE,,FALSE,1,FALSE,TRUE,FALSE,TRUE
E100002011285,Resonac Holdings Corp,Japan,Japan,EPIC Oil Pipeline,0,Resonac Holdings Corp -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> Mitsubishi UFJ Financial Group Inc [5.72%] -> Morgan Stanley  [23.6%] -> Kinetik Holdings Inc [6.4%] -> EPIC Oil Pipeline [27.5%],Kinetik Holdings Inc,E100001014626,Global Oil Infrastructure Tracker,operating,600000,P0073,600000,0,FALSE,FALSE,600000,FALSE,1,FALSE,TRUE,FALSE,TRUE
E100002011285,Resonac Holdings Corp,Japan,Japan,Bida Al Qemzan-Bu Hasa Oil Pipeline,0.11,Resonac Holdings Corp -> Resona Bank Ltd [100.0%] -> Custody Bank of Japan Ltd [16.7%] -> INPEX Corp [5.47%] -> Japan Oil Development Co Ltd [100.0%] -> Bida Al Qemzan-Bu Hasa Oil Pipeline [12.0%],Japan Oil Development Co Ltd,E100002008094,Global Oil Infrastructure Tracker,operating,--,P7229,--,0.11,FALSE,TRUE,,FALSE,1,FALSE,TRUE,FALSE,TRUE
