work_shift,type,refinery,origin_departure_date,origin_net_weight,destination_arrival_date,destination_net_weight,raw_row_number,missing_weight_flag,weight_difference,weight_difference_sign,duplicate_group_size,duplicate_flag,origin_calendar_year,origin_calendar_month,origin_calendar_day,destination_calendar_year,destination_calendar_month,destination_calendar_day,date_format_flag,date_label_order_flag
Day shift,VB,Tehran,1398/12/28,23720,1399/01/01,23700,2,FALSE,-20,negative_raw_difference,1,FALSE,1398,12,28,1399,1,1,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1398/12/27,26080,1399/01/01,25980,3,FALSE,-100,negative_raw_difference,1,FALSE,1398,12,27,1399,1,1,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1398/12/28,23260,1399/01/01,23700,4,FALSE,440,positive_raw_difference,1,FALSE,1398,12,28,1399,1,1,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1398/12/29,26380,1399/01/02,26300,5,FALSE,-80,negative_raw_difference,1,FALSE,1398,12,29,1399,1,2,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1398/12/28,25920,1399/01/02,25900,6,FALSE,-20,negative_raw_difference,1,FALSE,1398,12,28,1399,1,2,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1398/12/29,24200,1399/01/02,24200,7,FALSE,0,zero_raw_difference,1,FALSE,1398,12,29,1399,1,2,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/01,26600,1399/01/03,26680,8,FALSE,80,positive_raw_difference,1,FALSE,1399,1,1,1399,1,3,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/02,23880,1399/01/03,23940,9,FALSE,60,positive_raw_difference,1,FALSE,1399,1,2,1399,1,3,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/01,25920,1399/01/03,25880,10,FALSE,-40,negative_raw_difference,1,FALSE,1399,1,1,1399,1,3,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/01,24540,1399/01/03,24510,11,FALSE,-30,negative_raw_difference,1,FALSE,1399,1,1,1399,1,3,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,C5+,Pars Petrochemical,1398/12/27,26710,1399/01/03,26670,12,FALSE,-40,negative_raw_difference,1,FALSE,1398,12,27,1399,1,3,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1398/12/29,24940,1399/01/03,24860,13,FALSE,-80,negative_raw_difference,1,FALSE,1398,12,29,1399,1,3,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/02,24460,1399/01/03,24460,14,FALSE,0,zero_raw_difference,1,FALSE,1399,1,2,1399,1,3,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/02,26960,1399/01/04,26920,15,FALSE,-40,negative_raw_difference,1,FALSE,1399,1,2,1399,1,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/02,23800,1399/01/03,23830,16,FALSE,30,positive_raw_difference,1,FALSE,1399,1,2,1399,1,3,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/02,26720,1399/01/04,26660,17,FALSE,-60,negative_raw_difference,1,FALSE,1399,1,2,1399,1,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/03,25920,1399/01/05,25930,18,FALSE,10,positive_raw_difference,1,FALSE,1399,1,3,1399,1,5,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/03,24500,1399/01/05,24500,19,FALSE,0,zero_raw_difference,1,FALSE,1399,1,3,1399,1,5,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/04,25460,1399/01/05,25490,20,FALSE,30,positive_raw_difference,1,FALSE,1399,1,4,1399,1,5,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/04,26660,1399/01/06,26640,21,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,4,1399,1,6,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/03,23480,1399/01/05,23470,22,FALSE,-10,negative_raw_difference,1,FALSE,1399,1,3,1399,1,5,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,24360,1399/01/06,24410,23,FALSE,50,positive_raw_difference,1,FALSE,1399,1,5,1399,1,6,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/04,23820,1399/01/06,23830,24,FALSE,10,positive_raw_difference,1,FALSE,1399,1,4,1399,1,6,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,23660,1399/01/06,23730,25,FALSE,70,positive_raw_difference,1,FALSE,1399,1,5,1399,1,6,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,25980,1399/01/06,25990,26,FALSE,10,positive_raw_difference,1,FALSE,1399,1,5,1399,1,6,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,25100,1399/01/06,25110,27,FALSE,10,positive_raw_difference,1,FALSE,1399,1,5,1399,1,6,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,23280,1399/01/06,23240,28,FALSE,-40,negative_raw_difference,1,FALSE,1399,1,5,1399,1,6,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,22880,1399/01/06,22860,29,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,5,1399,1,6,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/04,25140,1399/01/06,25140,30,FALSE,0,zero_raw_difference,1,FALSE,1399,1,4,1399,1,6,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/04,26180,1399/01/06,26130,31,FALSE,-50,negative_raw_difference,1,FALSE,1399,1,4,1399,1,6,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,26160,1399/01/07,26360,32,FALSE,200,positive_raw_difference,1,FALSE,1399,1,5,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,26360,1399/01/07,26360,33,FALSE,0,zero_raw_difference,1,FALSE,1399,1,5,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,25200,1399/01/07,25220,34,FALSE,20,positive_raw_difference,1,FALSE,1399,1,5,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,24440,1399/01/07,24390,35,FALSE,-50,negative_raw_difference,1,FALSE,1399,1,5,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,23140,1399/01/07,23210,36,FALSE,70,positive_raw_difference,1,FALSE,1399,1,5,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,C5+,Pars Petrochemical,1398/12/29,26360,1399/01/07,26380,37,FALSE,20,positive_raw_difference,1,FALSE,1398,12,29,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/06,25280,1399/01/07,25250,38,FALSE,-30,negative_raw_difference,1,FALSE,1399,1,6,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,24220,1399/01/07,24190,39,FALSE,-30,negative_raw_difference,1,FALSE,1399,1,5,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,24380,1399/01/07,24340,40,FALSE,-40,negative_raw_difference,1,FALSE,1399,1,5,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/06,24200,1399/01/07,24140,41,FALSE,-60,negative_raw_difference,1,FALSE,1399,1,6,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,23820,1399/01/07,23820,42,FALSE,0,zero_raw_difference,1,FALSE,1399,1,5,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/05,23420,1399/01/07,23410,43,FALSE,-10,negative_raw_difference,1,FALSE,1399,1,5,1399,1,7,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/06,23780,1399/01/08,23790,44,FALSE,10,positive_raw_difference,1,FALSE,1399,1,6,1399,1,8,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/06,24400,1399/01/08,24370,45,FALSE,-30,negative_raw_difference,1,FALSE,1399,1,6,1399,1,8,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/06,24460,1399/01/08,24430,46,FALSE,-30,negative_raw_difference,1,FALSE,1399,1,6,1399,1,8,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/07,24600,1399/01/08,24570,47,FALSE,-30,negative_raw_difference,1,FALSE,1399,1,7,1399,1,8,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/07,23880,1399/01/08,23840,48,FALSE,-40,negative_raw_difference,1,FALSE,1399,1,7,1399,1,8,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/06,24680,1399/01/09,24720,49,FALSE,40,positive_raw_difference,1,FALSE,1399,1,6,1399,1,9,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/06,24660,1399/01/09,24620,50,FALSE,-40,negative_raw_difference,1,FALSE,1399,1,6,1399,1,9,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Tehran,1399/01/06,27080,1399/01/09,27030,51,FALSE,-50,negative_raw_difference,1,FALSE,1399,1,6,1399,1,9,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,C5+,Pars Petrochemical,1399/01/18,24080,1399/01/20,24060,52,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,18,1399,1,20,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,C5+,Pars Petrochemical,1399/01/20,28340,1399/01/22,28320,53,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,20,1399,1,22,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/25,24660,1399/01/25,24640,54,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,25,1399,1,25,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
