project_id,project_name,ownership_path_records,distinct_parent_entity_ids,distinct_immediate_owner_entity_ids,missing_ownership_share_records,missing_or_placeholder_capacity_records,distinct_reported_capacity_values,statuses_as_reported,project_id_is_unique,workbook_exact_duplicate_groups,workbook_exact_duplicate_rows_beyond_first
P0653,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P2020,Druzhba Oil Pipeline,101,52,11,42,0,1,cancelled,FALSE,31,31
P2021,Druzhba Oil Pipeline,101,52,11,42,0,1,cancelled,FALSE,31,31
P2022,Druzhba Oil Pipeline,101,52,11,42,101,0,cancelled,FALSE,31,31
P5133,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5134,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5137,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5146,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5188,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5189,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5190,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5207,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5322,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5323,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5324,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5325,Druzhba Oil Pipeline,101,52,11,42,0,1,idle,FALSE,31,31
P5326,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5327,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5329,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5330,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P5331,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P6307,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P7279,Druzhba Oil Pipeline,101,52,11,42,0,1,idle,FALSE,31,31
P7280,Druzhba Oil Pipeline,101,52,11,42,0,1,operating,FALSE,31,31
P3678,Chayvo-De-Kastri Oil Pipeline,56,56,4,11,0,1,operating,FALSE,31,31
P3720,Chayvo-De-Kastri Oil Pipeline,56,56,4,11,56,0,operating,FALSE,31,31
P3721,Chayvo-De-Kastri Oil Pipeline,56,56,4,11,56,0,operating,FALSE,31,31
P0667,Burgas-Alexandroupolis Oil Pipeline,47,47,5,44,0,1,proposed,FALSE,31,31
P0060,Diamond Oil Pipeline,45,15,4,12,0,1,operating,FALSE,31,31
P0646,Caspian Pipeline,45,45,9,16,0,1,operating,FALSE,31,31
P2044,Caspian Pipeline,45,45,9,16,0,1,operating,FALSE,31,31
P2525,Diamond Oil Pipeline,45,15,4,12,0,1,cancelled,FALSE,31,31
P3172,Diamond Oil Pipeline,45,15,4,12,45,0,cancelled,FALSE,31,31
P0679,Transalpine Oil Pipeline,41,41,1,41,0,1,operating,FALSE,31,31
P5167,Transalpine Oil Pipeline,41,41,1,41,0,1,proposed,FALSE,31,31
P6261,Transalpine Oil Pipeline,41,41,1,41,41,0,operating,FALSE,31,31
P0643,Baku-Supsa Oil Pipeline,39,39,1,3,0,1,idle,FALSE,31,31
P2019,Baku-Supsa Oil Pipeline,39,39,1,3,0,1,idle,FALSE,31,31
P3708,Suzun–Vankor Oil Pipeline,34,34,1,32,34,0,operating,FALSE,31,31
P0677,Rostock-Schwedt Oil Pipeline,33,33,1,11,0,1,operating,FALSE,31,31
P6331,Rostock-Schwedt Oil Pipeline,33,33,1,11,33,0,proposed,FALSE,31,31
P0073,EPIC Oil Pipeline,32,32,3,5,0,1,operating,FALSE,31,31
P0344,Wink to Webster Pipeline,32,32,6,32,0,1,operating,FALSE,31,31
P5464,Angostura-Guayaguayare Oil Pipeline,32,31,3,5,0,1,operating,FALSE,31,31
P0046,Cactus II Oil Pipeline,31,27,2,9,0,1,operating,FALSE,31,31
P0662,Samsun–Ceyhan Pipeline,31,31,3,27,0,1,cancelled,FALSE,31,31
P2623,Cactus II Oil Pipeline,31,27,2,9,0,1,operating,FALSE,31,31
P3594,Shin Oak NGL Pipeline,31,31,2,3,31,0,operating,FALSE,31,31
P4277,Shin Oak NGL Pipeline,31,31,2,3,0,1,cancelled,FALSE,31,31
P0673,North-West Oil Pipeline Network,30,29,2,5,0,1,operating,FALSE,31,31
P1209,Moomba to Port Bonython Oil Pipeline,30,30,3,2,0,1,operating,FALSE,31,31
P3102,North-West Oil Pipeline Network,30,29,2,5,0,1,operating,FALSE,31,31
P3156,Blue Marlin Offshore Port (BMOP) Oil Pipeline,30,15,2,8,0,1,proposed,FALSE,31,31
P3675,Vostok Oil Pipeline,30,30,1,27,0,1,construction,FALSE,31,31
P7155,Vostok Oil Pipeline,30,30,1,27,0,1,proposed,FALSE,31,31
P7156,Vostok Oil Pipeline,30,30,1,27,0,1,proposed,FALSE,31,31
P7160,Vostok Oil Pipeline,30,30,1,27,0,1,construction,FALSE,31,31
P7348,Blue Marlin Offshore Port (BMOP) Oil Pipeline,30,15,2,8,0,1,proposed,FALSE,31,31
P7227,Satah-Zirku Island Oil Pipeline,29,29,3,1,0,1,operating,FALSE,31,31
P7228,Umm Al Dalkh-Upper Zakum Oil Pipeline,29,29,3,1,29,0,operating,FALSE,31,31
P7229,Bida Al Qemzan-Bu Hasa Oil Pipeline,29,29,3,1,29,0,operating,FALSE,31,31
P1214,Lycium to Moomba Oil Pipeline,28,28,2,1,0,1,operating,FALSE,31,31
P1215,Growler to Lycium Oil Pipeline,28,28,2,1,0,1,operating,FALSE,31,31
P0139,White Cliffs Oil Pipeline,27,27,5,5,0,1,operating,FALSE,31,31
P0660,Vankor-Purpe Pipeline,27,27,1,10,0,1,operating,FALSE,31,31
P2632,White Cliffs Oil Pipeline,27,27,5,5,0,1,operating,FALSE,31,31
P2633,White Cliffs Oil Pipeline,27,27,5,5,0,1,operating,FALSE,31,31
P2634,White Cliffs Oil Pipeline,27,27,5,5,0,1,operating,FALSE,31,31
P3711,Danilovsky–Verkhnechonskoye Oil Pipeline,27,27,1,27,27,0,operating,FALSE,31,31
P7205,Jackson to Moonie Oil Pipeline,27,27,2,2,0,1,retired,FALSE,31,31
P0122,Red River Oil Pipeline,26,16,3,19,0,1,operating,FALSE,31,31
P1009,Iwafune-Oki Oil Pipeline,26,26,1,1,0,1,operating,FALSE,31,31
P2598,Red River Oil Pipeline,26,16,3,19,0,1,operating,FALSE,31,31
P1292,Pikka Pipeline System,25,25,2,2,0,1,construction,FALSE,31,31
P5149,Edvard Grieg Pipeline,25,25,3,15,25,0,operating,FALSE,31,31
P0672,Ninian Crude Oil Pipeline,24,24,4,18,0,1,operating,FALSE,31,31
P3883,Bauer to Lycium Oil Pipeline,24,24,1,1,0,1,operating,FALSE,31,31
P7159,HGCP-Kutubu Condensate Pipeline,24,24,1,3,24,0,operating,FALSE,31,31
P0644,Baku-Tbilisi-Ceyhan Pipeline,22,22,1,2,0,1,operating,FALSE,31,31
P1077,Kutubu Oil Pipeline,22,22,1,2,0,1,operating,FALSE,31,31
P1212,Westernport–Altona–Geelong (WAG) Oil Pipeline,22,22,1,1,0,1,operating,FALSE,31,31
P1213,Jackson to Moomba Oil Pipeline,22,22,1,2,22,0,operating,FALSE,31,31
P2076,Moomba to Sydney Ethane Pipeline,22,22,1,1,0,1,operating,FALSE,31,31
P5437,Tarbat to Jackson Oil Pipeline,22,22,1,2,22,0,operating,FALSE,31,31
P7206,Moonie to Brisbane Oil Pipeline,22,22,1,22,22,0,retired,FALSE,31,31
P6133,Pelyatka-Dudinka Condensate Pipeline,21,21,1,1,0,1,operating,FALSE,31,31
P2682,Front Range Y-Grade Pipeline,20,20,1,6,0,1,operating,FALSE,31,31
P2692,Front Range Y-Grade Pipeline,20,20,1,6,20,0,operating,FALSE,31,31
P5150,Johan Svedrup Oil Pipeline,20,20,4,6,0,1,operating,FALSE,31,31
P0072,Energy Transfer Crude Oil Pipeline (ETCOP),19,19,4,3,0,1,operating,FALSE,31,31
P0102,Niobrara Falls Oil Pipeline,19,19,1,5,0,1,cancelled,FALSE,31,31
P1240,Oldelval Oil Pipeline,19,18,2,6,0,1,operating,FALSE,31,31
P2034,Oldelval Oil Pipeline,19,18,2,6,0,1,construction,FALSE,31,31
P2642,Big Spring Gateway Oil Pipeline System,19,19,1,5,0,1,operating,FALSE,31,31
P2656,South Texas Crude Oil Pipeline System (NuStar Energy),19,19,1,5,0,1,operating,FALSE,31,31
P2657,South Texas Crude Oil Pipeline System (NuStar Energy),19,19,1,5,0,1,operating,FALSE,31,31
P5447,Vaca Muerta Sur Oil Pipeline,19,16,2,9,0,1,construction,FALSE,31,31
P5459,Oldelval Oil Pipeline,19,18,2,6,0,1,operating,FALSE,31,31
P5460,Oldelval Oil Pipeline,19,18,2,6,0,1,operating,FALSE,31,31
P5461,Oldelval Oil Pipeline,19,18,2,6,0,1,operating,FALSE,31,31
P5462,Oldelval Oil Pipeline,19,18,2,6,0,1,operating,FALSE,31,31
P5478,South Texas Crude Oil Pipeline System (NuStar Energy),19,19,1,5,0,1,operating,FALSE,31,31
P5479,South Texas Crude Oil Pipeline System (NuStar Energy),19,19,1,5,0,1,operating,FALSE,31,31
P5480,South Texas Crude Oil Pipeline System (NuStar Energy),19,19,1,5,0,1,operating,FALSE,31,31
P6127,Oldelval Oil Pipeline,19,18,2,6,0,1,proposed,FALSE,31,31
P6138,Oldelval Oil Pipeline,19,18,2,6,19,0,proposed,FALSE,31,31
P6484,Corpus Christi Chemical Pipeline,19,19,1,5,19,0,operating,FALSE,31,31
P6486,Houston 12-inch Pipeline,19,19,1,5,0,1,operating,FALSE,31,31
P6491,Laredo Product Pipeline,19,19,1,5,0,1,operating,FALSE,31,31
P6493,Dos Países (Burgos) Products Pipeline,19,19,1,5,0,1,operating,FALSE,31,31
P7162,Oldelval Oil Pipeline,19,18,2,6,19,0,proposed,FALSE,31,31
P7163,Oldelval Oil Pipeline,19,18,2,6,19,0,proposed,FALSE,31,31
P7183,Vaca Muerta Sur Oil Pipeline,19,16,2,9,0,1,proposed,FALSE,31,31
P5205,Jintang-Cezi Oil Pipeline,18,18,1,0,0,1,construction,FALSE,31,31
P5206,Cezi-Mamu Oil Pipeline,18,18,1,0,0,1,operating,FALSE,31,31
P5222,Jintang-Cezi Oil Pipeline,18,18,1,0,0,1,construction,FALSE,31,31
P5223,Jintang-Cezi Oil Pipeline,18,18,1,0,0,1,construction,FALSE,31,31
P5224,Cezi-Mamu Oil Pipeline,18,18,1,0,0,1,operating,FALSE,31,31
P6286,Mamu-Yushan Oil Pipeline,18,18,1,0,0,1,operating,FALSE,31,31
P6287,Mamu-Yushan Oil Pipeline,18,18,1,0,0,1,operating,FALSE,31,31
P6351,Zhoushan-Ningbo Petrochemical Base Interconnected Pipeline,18,18,1,0,0,1,proposed,FALSE,31,31
P0045,Cactus Oil Pipeline,17,10,2,7,0,1,operating,FALSE,31,31
P0066,Eastern Gulf Crude Access Pipeline Project (EGCAP),17,17,2,17,0,1,cancelled,FALSE,31,31
P0074,Eugene Island Oil Pipeline,17,17,5,17,0,1,operating,FALSE,31,31
P0590,El Sharara-Zawiya Oil Pipeline,17,17,5,15,0,1,operating,FALSE,31,31
P2507,Cactus Oil Pipeline,17,10,2,7,0,1,operating,FALSE,31,31
P2508,Cactus Oil Pipeline,17,10,2,7,0,1,operating,FALSE,31,31
P5202,Karachaganak-Atyrau Oil Pipeline,17,17,1,0,0,1,operating,FALSE,31,31
P6119,Karachaganak-Orenburg Condensate Pipeline,17,17,1,0,17,0,operating,FALSE,31,31
P6120,Karachaganak-Orenburg Condensate Pipeline,17,17,1,0,17,0,operating,FALSE,31,31
P6121,Karachaganak-Orenburg Condensate Pipeline,17,17,1,0,17,0,operating,FALSE,31,31
