project_id,project_name,ownership_path_records,distinct_parent_entity_ids,distinct_immediate_owner_entity_ids,missing_ownership_share_records,missing_or_placeholder_capacity_records,distinct_reported_capacity_values,statuses_as_reported
P0653,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P2020,Druzhba Oil Pipeline,101,52,11,42,0,1,cancelled
P2021,Druzhba Oil Pipeline,101,52,11,42,0,1,cancelled
P2022,Druzhba Oil Pipeline,101,52,11,42,101,0,cancelled
P5133,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5134,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5137,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5146,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5188,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5189,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5190,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5207,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5322,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5323,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5324,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5325,Druzhba Oil Pipeline,101,52,11,42,0,1,idle
P5326,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5327,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5329,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5330,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P5331,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P6307,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P7279,Druzhba Oil Pipeline,101,52,11,42,0,1,idle
P7280,Druzhba Oil Pipeline,101,52,11,42,0,1,operating
P3678,Chayvo-De-Kastri Oil Pipeline,56,56,4,11,0,1,operating
P3720,Chayvo-De-Kastri Oil Pipeline,56,56,4,11,56,0,operating
P3721,Chayvo-De-Kastri Oil Pipeline,56,56,4,11,56,0,operating
P0667,Burgas-Alexandroupolis Oil Pipeline,47,47,5,44,0,1,proposed
P0060,Diamond Oil Pipeline,45,15,4,12,0,1,operating
P0646,Caspian Pipeline,45,45,9,16,0,1,operating
P2044,Caspian Pipeline,45,45,9,16,0,1,operating
P2525,Diamond Oil Pipeline,45,15,4,12,0,1,cancelled
P3172,Diamond Oil Pipeline,45,15,4,12,45,0,cancelled
P0679,Transalpine Oil Pipeline,41,41,1,41,0,1,operating
P5167,Transalpine Oil Pipeline,41,41,1,41,0,1,proposed
P6261,Transalpine Oil Pipeline,41,41,1,41,41,0,operating
P0643,Baku-Supsa Oil Pipeline,39,39,1,3,0,1,idle
P2019,Baku-Supsa Oil Pipeline,39,39,1,3,0,1,idle
P3708,Suzun–Vankor Oil Pipeline,34,34,1,32,34,0,operating
P0677,Rostock-Schwedt Oil Pipeline,33,33,1,11,0,1,operating
P6331,Rostock-Schwedt Oil Pipeline,33,33,1,11,33,0,proposed
P0073,EPIC Oil Pipeline,32,32,3,5,0,1,operating
P0344,Wink to Webster Pipeline,32,32,6,32,0,1,operating
P5464,Angostura-Guayaguayare Oil Pipeline,32,31,3,5,0,1,operating
P0046,Cactus II Oil Pipeline,31,27,2,9,0,1,operating
P0662,Samsun–Ceyhan Pipeline,31,31,3,27,0,1,cancelled
P2623,Cactus II Oil Pipeline,31,27,2,9,0,1,operating
P3594,Shin Oak NGL Pipeline,31,31,2,3,31,0,operating
P4277,Shin Oak NGL Pipeline,31,31,2,3,0,1,cancelled
P0673,North-West Oil Pipeline Network,30,29,2,5,0,1,operating
P1209,Moomba to Port Bonython Oil Pipeline,30,30,3,2,0,1,operating
P3102,North-West Oil Pipeline Network,30,29,2,5,0,1,operating
P3156,Blue Marlin Offshore Port (BMOP) Oil Pipeline,30,15,2,8,0,1,proposed
P3675,Vostok Oil Pipeline,30,30,1,27,0,1,construction
P7155,Vostok Oil Pipeline,30,30,1,27,0,1,proposed
P7156,Vostok Oil Pipeline,30,30,1,27,0,1,proposed
P7160,Vostok Oil Pipeline,30,30,1,27,0,1,construction
P7348,Blue Marlin Offshore Port (BMOP) Oil Pipeline,30,15,2,8,0,1,proposed
P7227,Satah-Zirku Island Oil Pipeline,29,29,3,1,0,1,operating
P7228,Umm Al Dalkh-Upper Zakum Oil Pipeline,29,29,3,1,29,0,operating
P7229,Bida Al Qemzan-Bu Hasa Oil Pipeline,29,29,3,1,29,0,operating
P1214,Lycium to Moomba Oil Pipeline,28,28,2,1,0,1,operating
P1215,Growler to Lycium Oil Pipeline,28,28,2,1,0,1,operating
P0139,White Cliffs Oil Pipeline,27,27,5,5,0,1,operating
P0660,Vankor-Purpe Pipeline,27,27,1,10,0,1,operating
P2632,White Cliffs Oil Pipeline,27,27,5,5,0,1,operating
P2633,White Cliffs Oil Pipeline,27,27,5,5,0,1,operating
P2634,White Cliffs Oil Pipeline,27,27,5,5,0,1,operating
P3711,Danilovsky–Verkhnechonskoye Oil Pipeline,27,27,1,27,27,0,operating
P7205,Jackson to Moonie Oil Pipeline,27,27,2,2,0,1,retired
P0122,Red River Oil Pipeline,26,16,3,19,0,1,operating
P1009,Iwafune-Oki Oil Pipeline,26,26,1,1,0,1,operating
P2598,Red River Oil Pipeline,26,16,3,19,0,1,operating
P1292,Pikka Pipeline System,25,25,2,2,0,1,construction
P5149,Edvard Grieg Pipeline,25,25,3,15,25,0,operating
P0672,Ninian Crude Oil Pipeline,24,24,4,18,0,1,operating
P3883,Bauer to Lycium Oil Pipeline,24,24,1,1,0,1,operating
P7159,HGCP-Kutubu Condensate Pipeline,24,24,1,3,24,0,operating
P0644,Baku-Tbilisi-Ceyhan Pipeline,22,22,1,2,0,1,operating
P1077,Kutubu Oil Pipeline,22,22,1,2,0,1,operating
P1212,Westernport–Altona–Geelong (WAG) Oil Pipeline,22,22,1,1,0,1,operating
P1213,Jackson to Moomba Oil Pipeline,22,22,1,2,22,0,operating
P2076,Moomba to Sydney Ethane Pipeline,22,22,1,1,0,1,operating
P5437,Tarbat to Jackson Oil Pipeline,22,22,1,2,22,0,operating
P7206,Moonie to Brisbane Oil Pipeline,22,22,1,22,22,0,retired
P6133,Pelyatka-Dudinka Condensate Pipeline,21,21,1,1,0,1,operating
P2682,Front Range Y-Grade Pipeline,20,20,1,6,0,1,operating
P2692,Front Range Y-Grade Pipeline,20,20,1,6,20,0,operating
P5150,Johan Svedrup Oil Pipeline,20,20,4,6,0,1,operating
P0072,Energy Transfer Crude Oil Pipeline (ETCOP),19,19,4,3,0,1,operating
P0102,Niobrara Falls Oil Pipeline,19,19,1,5,0,1,cancelled
P1240,Oldelval Oil Pipeline,19,18,2,6,0,1,operating
P2034,Oldelval Oil Pipeline,19,18,2,6,0,1,construction
P2642,Big Spring Gateway Oil Pipeline System,19,19,1,5,0,1,operating
P2656,South Texas Crude Oil Pipeline System (NuStar Energy),19,19,1,5,0,1,operating
P2657,South Texas Crude Oil Pipeline System (NuStar Energy),19,19,1,5,0,1,operating
P5447,Vaca Muerta Sur Oil Pipeline,19,16,2,9,0,1,construction
P5459,Oldelval Oil Pipeline,19,18,2,6,0,1,operating
P5460,Oldelval Oil Pipeline,19,18,2,6,0,1,operating
P5461,Oldelval Oil Pipeline,19,18,2,6,0,1,operating
P5462,Oldelval Oil Pipeline,19,18,2,6,0,1,operating
P5478,South Texas Crude Oil Pipeline System (NuStar Energy),19,19,1,5,0,1,operating
P5479,South Texas Crude Oil Pipeline System (NuStar Energy),19,19,1,5,0,1,operating
P5480,South Texas Crude Oil Pipeline System (NuStar Energy),19,19,1,5,0,1,operating
P6127,Oldelval Oil Pipeline,19,18,2,6,0,1,proposed
P6138,Oldelval Oil Pipeline,19,18,2,6,19,0,proposed
P6484,Corpus Christi Chemical Pipeline,19,19,1,5,19,0,operating
P6486,Houston 12-inch Pipeline,19,19,1,5,0,1,operating
P6491,Laredo Product Pipeline,19,19,1,5,0,1,operating
P6493,Dos Países (Burgos) Products Pipeline,19,19,1,5,0,1,operating
P7162,Oldelval Oil Pipeline,19,18,2,6,19,0,proposed
P7163,Oldelval Oil Pipeline,19,18,2,6,19,0,proposed
P7183,Vaca Muerta Sur Oil Pipeline,19,16,2,9,0,1,proposed
P5205,Jintang-Cezi Oil Pipeline,18,18,1,0,0,1,construction
P5206,Cezi-Mamu Oil Pipeline,18,18,1,0,0,1,operating
P5222,Jintang-Cezi Oil Pipeline,18,18,1,0,0,1,construction
P5223,Jintang-Cezi Oil Pipeline,18,18,1,0,0,1,construction
P5224,Cezi-Mamu Oil Pipeline,18,18,1,0,0,1,operating
P6286,Mamu-Yushan Oil Pipeline,18,18,1,0,0,1,operating
P6287,Mamu-Yushan Oil Pipeline,18,18,1,0,0,1,operating
P6351,Zhoushan-Ningbo Petrochemical Base Interconnected Pipeline,18,18,1,0,0,1,proposed
P0045,Cactus Oil Pipeline,17,10,2,7,0,1,operating
P0066,Eastern Gulf Crude Access Pipeline Project (EGCAP),17,17,2,17,0,1,cancelled
P0074,Eugene Island Oil Pipeline,17,17,5,17,0,1,operating
P0590,El Sharara-Zawiya Oil Pipeline,17,17,5,15,0,1,operating
P2507,Cactus Oil Pipeline,17,10,2,7,0,1,operating
P2508,Cactus Oil Pipeline,17,10,2,7,0,1,operating
P5202,Karachaganak-Atyrau Oil Pipeline,17,17,1,0,0,1,operating
P6119,Karachaganak-Orenburg Condensate Pipeline,17,17,1,0,17,0,operating
P6120,Karachaganak-Orenburg Condensate Pipeline,17,17,1,0,17,0,operating
P6121,Karachaganak-Orenburg Condensate Pipeline,17,17,1,0,17,0,operating
P6122,Karachaganak-Orenburg Condensate Pipeline,17,17,1,0,17,0,operating
P6123,Karachaganak-Orenburg Condensate Pipeline,17,17,1,0,17,0,operating
P0042,Bayou Bridge Oil Pipeline,16,16,2,3,0,1,operating
P0051,Capline Oil Pipeline,16,16,1,10,0,1,operating
P0057,Dakota Access Oil Pipeline (DAPL),16,16,1,16,0,1,operating
P0062,Double Eagle Pipeline,16,8,3,8,0,1,operating
P0104,Permian Longview and Louisiana Extension (PELA) Oil Pipeline,16,16,2,16,0,1,operating
P0111,Advantage Oil Pipeline,16,16,2,4,0,1,operating
P0113,Permian Express Oil Pipeline,16,16,1,3,0,1,operating
P0123,Saddlehorn Oil Pipeline,16,16,1,4,0,1,operating
P0131,South Texas Crude Oil Pipeline System (Enterprise),16,12,2,5,0,1,operating
P0342,Permian to Gulf Coast Pipeline,16,16,2,16,0,1,cancelled
P0663,Adria Oil Pipeline,16,10,2,10,0,1,operating
P2452,Mariner East 2 NGL Pipeline,16,16,2,5,0,1,operating
P2504,Bayou Bridge Oil Pipeline,16,16,2,3,0,1,operating
P2513,Capline Oil Pipeline,16,16,1,10,0,1,operating
P2527,South Texas Crude Oil Pipeline System (Enterprise),16,12,2,5,16,0,operating
P2580,Permian Longview and Louisiana Extension (PELA) Oil Pipeline,16,16,2,16,0,1,operating
P2581,Permian Express Oil Pipeline,16,16,1,3,0,1,operating
P2595,South Texas Crude Oil Pipeline System (Enterprise),16,12,2,5,0,1,operating
P2596,South Texas Crude Oil Pipeline System (Enterprise),16,12,2,5,16,0,operating
P2609,Saddlehorn Oil Pipeline,16,16,1,4,0,1,operating
P2660,Permian Express Oil Pipeline,16,16,1,3,0,1,operating
P2661,Permian Express Oil Pipeline,16,16,1,3,0,1,operating
