sheet,rows,columns,column_names,data_types,total_missing_cells,exact_duplicate_groups,exact_duplicate_rows_beyond_first,relevance_to_project
About,74,14,Global Energy Ownership Tracker - March 2026 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14,character | character | logical | character | logical | logical | logical | logical | character | logical | logical | logical | logical | logical,921,1,12,metadata or out of current analytical scope
All Entities,28214,25,Entity ID | Full Name | Name | Name Local | Name Other | Abbreviation | Entity Type | Legal Entity Type | PubliclyListed | Home Page | Registration Country | Registration Subdivision | Headquarters Country | Headquarters Subdivision | Gem parents | Gem parents IDs | Brazil - National Registry of Legal Entities (Federal Revenue Service) | Global Legal Entity Identifier Index | India - Corporate Identification Number (Ministry of Corporate Affairs) | PermID: Refinitiv Permanent Identifier | Russia - Uniform State Register of Legal Entities of Russian Federation | S&P Capital IQ | UK Companies House | US SEC Central Index Key | US-EIA,character | character | character | character | character | character | character | character | logical | character | character | character | character | character | character | character | character | character | character | character | character | character | character | character | character,378146,0,0,directly relevant
Entity Ownership,26332,7,Subject Entity ID | Subject Entity Name | Interested Party ID | Interested Party Name | % Share of Ownership | Data Source URL | Share Imputed?,character | character | character | character | numeric | character | character,528,0,0,directly relevant
Asset Ownership,50861,8,Asset Type | Asset ID | Asset Unit ID | Asset Name | Immediate Owner Entity ID | Immediate Owner Entity Name | % Share of Ownership | Share Imputed?,character | character | character | character | character | character | numeric | character,17670,0,0,directly relevant
Coal Plant Ownership,71907,14,Parent GEM Entity ID | Parent | Parent Registration Country | Parent Headquarters Country | Project | Share | Ownership Path | Immediate Project Owner | Immediate Project Owner GEM Entity ID | Tracker | Status | Capacity (MW) | GEM location ID | GEM unit ID,character | character | character | character | character | numeric | character | character | character | character | character | numeric | character | character,44170,695,695,contextually relevant to wider energy infrastructure
Gas Plant Ownership,72994,14,Parent GEM Entity ID | Parent | Parent Registration Country | Parent Headquarters Country | Project | Share | Ownership Path | Immediate Project Owner | Immediate Project Owner GEM Entity ID | Tracker | Status | Capacity (MW) | GEM location ID | GEM unit ID,character | character | character | character | character | numeric | character | character | character | character | character | numeric | character | character,43231,84,84,contextually relevant to wider energy infrastructure
Bioenergy Power Ownership,14126,14,Parent GEM Entity ID | Parent | Parent Registration Country | Parent Headquarters Country | Project | Share | Ownership Path | Immediate Project Owner | Immediate Project Owner GEM Entity ID | Tracker | Status | Capacity (MW) | GEM location ID | GEM unit ID,character | character | character | character | character | numeric | character | character | character | character | character | numeric | character | character,13858,14,14,potential wider energy-transition context; not central to current oil scope
Coal Mine Ownership,16737,14,Parent GEM Entity ID | Parent | Parent Registration Country | Parent Headquarters Country | Project | Share | Ownership Path | Immediate Project Owner | Immediate Project Owner GEM Entity ID | Tracker | Status | Capacity (Mtpa) | Production (Mtpa) | GEM Mine ID,character | character | character | character | character | numeric | character | character | character | character | character | character | character | character,11615,33,33,contextually relevant to wider energy infrastructure
Iron Mine Ownership,3718,15,Parent GEM Entity ID | Parent | Parent Registration Country | Parent Headquarters Country | Project | Share | Ownership Path | Immediate Project Owner | Immediate Project Owner GEM Entity ID | Tracker | Operating status | Production 2023 (ttpa) | Production 2022 (ttpa) | Design capacity (ttpa) | GEM Asset ID,character | character | character | character | character | numeric | character | character | character | character | character | character | character | character | character,3721,0,0,potential wider energy-transition context; not central to current oil scope
Gas Pipeline Ownership,27506,14,Parent GEM Entity ID | Parent | Parent Registration Country | Parent Headquarters Country | Project | Share | Ownership Path | Immediate Project Owner | Immediate Project Owner GEM Entity ID | Tracker | Status | CapacityBcm/y | CapacityBOEd | ProjectID,character | character | character | character | character | numeric | character | character | character | character | character | character | character | character,17527,105,105,contextually relevant to wider energy infrastructure
Oil & NGL Pipeline Ownership,11760,13,Parent GEM Entity ID | Parent | Parent Registration Country | Parent Headquarters Country | Project | Share | Ownership Path | Immediate Project Owner | Immediate Project Owner GEM Entity ID | Tracker | Status | CapacityBOEd | ProjectID,character | character | character | character | character | numeric | character | character | character | character | character | character | character,7965,31,31,directly relevant
Steel Plant Ownership,9363,14,Parent GEM Entity ID | Parent | Parent Registration Country | Parent Headquarters Country | Project | Share | Ownership Path | Immediate Project Owner | Immediate Project Owner GEM Entity ID | Tracker | Status | Nominal crude steel capacity (ttpa) | Nominal iron capacity (ttpa) | Steel Plant ID,character | character | character | character | character | numeric | character | character | character | character | character | character | character | character,11422,6,6,potential wider energy-transition context; not central to current oil scope
Cement and Concrete Ownership,9605,14,Parent GEM Entity ID | Parent | Parent Registration Country | Parent Headquarters Country | Project | Share | Ownership Path | Immediate Project Owner | Immediate Project Owner GEM Entity ID | Tracker | Status | Cement Capacity (millions metric tonnes per annum) | Clinker Capacity (millions metric tonnes per annum) | GEM Plant ID,character | character | character | character | character | numeric | character | character | character | character | character | character | character | character,10378,0,0,potential wider energy-transition context; not central to current oil scope
