"country_name","product","flow","year","value","number_of_records"
"Australia","Crude oil","Consumption Pattern",2021,1301.929,1
"Australia","Crude oil","Consumption Pattern",2021,1354.909,1
"Australia","Crude oil","Industrial Production",2021,16725.052,1
"Australia","Crude oil","Industrial Production",2021,18029.678,1
"Australia","Gasoline and diesel","Net Deliveries",2021,25935.536,1
"Australia","Gasoline and diesel","Net Deliveries",2021,26337.065,1
"Australia","Liquified Petroleum Gas","Net Deliveries",2021,810,1
"Australia","Liquified Petroleum Gas","Net Deliveries",2021,836,1
"Australia","Middle distillates","Consumption Pattern",2021,1936.134,1
"Australia","Middle distillates","Consumption Pattern",2021,1981.457,1
"Australia","Other oil products","Net Deliveries",2021,1774.44,1
"Australia","Other oil products","Net Deliveries",2021,1851.196,1
"Australia","Residual fuel oil","Consumption Pattern",2021,98.618,1
"Australia","Residual fuel oil","Consumption Pattern",2021,135.096,1
"Australia","Residual fuel oil","Net Deliveries",2021,195.404,1
"Australia","Residual fuel oil","Net Deliveries",2021,219.085,1
"Australia","Total gas oil production","Consumption Pattern",2021,783.598,1
"Australia","Total gas oil production","Consumption Pattern",2021,842.388,1
"Australia","Total gas oil production","Net Deliveries",2021,11540.348,1
"Australia","Total gas oil production","Net Deliveries",2021,11898.631,1
"Australia","Total kerosene production","Net Deliveries",2021,2928.885,1
"Australia","Total kerosene production","Net Deliveries",2021,4950.512,1
"Australia","Total oil production","Consumption Pattern",2021,4971.319,1
"Australia","Total oil production","Consumption Pattern",2021,4973.127,1
"Australia","Total oil products production","Consumption Pattern",2021,3618.218,1
"Australia","Total oil products production","Consumption Pattern",2021,3669.39,1
"Australia","Total oil products production","Net Deliveries",2021,43287.369,1
"Australia","Total oil products production","Net Deliveries",2021,45989.733,1
"Austria","Crude oil","Consumption Pattern",2021,1090.5,1
"Austria","Crude oil","Consumption Pattern",2021,1157.987,1
"Austria","Crude oil","Industrial Production",2021,515.782,1
"Austria","Crude oil","Industrial Production",2021,561.852,1
"Austria","Gasoline and diesel","Net Deliveries",2021,7017.216,1
"Austria","Gasoline and diesel","Net Deliveries",2021,7447.889,1
"Austria","Liquified Petroleum Gas","Net Deliveries",2021,81.893,1
"Austria","Liquified Petroleum Gas","Net Deliveries",2021,85.57,1
"Austria","Middle distillates","Consumption Pattern",2021,1084.896,1
"Austria","Middle distillates","Consumption Pattern",2021,1186.67,1
"Austria","Naphtha","Net Deliveries",2021,832.786,1
"Austria","Naphtha","Net Deliveries",2021,1081.534,1
"Austria","Other oil products","Net Deliveries",2021,506.077,1
"Austria","Other oil products","Net Deliveries",2021,589.49,1
"Austria","Residual fuel oil","Consumption Pattern",2021,99.854,1
"Austria","Residual fuel oil","Consumption Pattern",2021,140.234,1
"Austria","Residual fuel oil","Net Deliveries",2021,54.118,1
"Austria","Residual fuel oil","Net Deliveries",2021,65.507,1
"Austria","Total gas oil production","Consumption Pattern",2021,288.886,1
"Austria","Total gas oil production","Consumption Pattern",2021,349.824,1
"Austria","Total gas oil production","Net Deliveries",2021,1442.387,1
"Austria","Total gas oil production","Net Deliveries",2021,1501.374,1
"Austria","Total kerosene production","Net Deliveries",2021,404.516,1
"Austria","Total kerosene production","Net Deliveries",2021,610.129,1
"Austria","Total oil production","Consumption Pattern",2021,2771.875,1
