"country_name","product","flow","year","number_of_records"
"Australia","Crude oil","Consumption Pattern",2021,2
"Australia","Crude oil","Industrial Production",2021,2
"Australia","Gasoline and diesel","Net Deliveries",2021,2
"Australia","Liquified Petroleum Gas","Net Deliveries",2021,2
"Australia","Middle distillates","Consumption Pattern",2021,2
"Australia","Naphtha","Net Deliveries",2021,2
"Australia","Other oil products","Net Deliveries",2021,2
"Australia","Residual fuel oil","Consumption Pattern",2021,2
"Australia","Residual fuel oil","Net Deliveries",2021,2
"Australia","Total gas oil production","Consumption Pattern",2021,2
"Australia","Total gas oil production","Net Deliveries",2021,2
"Australia","Total kerosene production","Net Deliveries",2021,2
"Australia","Total oil production","Consumption Pattern",2021,2
"Australia","Total oil products production","Consumption Pattern",2021,2
"Australia","Total oil products production","Net Deliveries",2021,2
"Austria","Crude oil","Consumption Pattern",2021,2
"Austria","Crude oil","Industrial Production",2021,2
"Austria","Gasoline and diesel","Net Deliveries",2021,2
"Austria","Liquified Petroleum Gas","Net Deliveries",2021,2
"Austria","Middle distillates","Consumption Pattern",2021,2
"Austria","Naphtha","Net Deliveries",2021,2
"Austria","Other oil products","Net Deliveries",2021,2
"Austria","Residual fuel oil","Consumption Pattern",2021,2
"Austria","Residual fuel oil","Net Deliveries",2021,2
"Austria","Total gas oil production","Consumption Pattern",2021,2
"Austria","Total gas oil production","Net Deliveries",2021,2
"Austria","Total kerosene production","Net Deliveries",2021,2
"Austria","Total oil production","Consumption Pattern",2021,2
"Austria","Total oil products production","Consumption Pattern",2021,2
"Austria","Total oil products production","Net Deliveries",2021,2
"Belgium","Crude oil","Consumption Pattern",2021,2
"Belgium","Crude oil","Industrial Production",2021,2
"Belgium","Gasoline and diesel","Net Deliveries",2021,2
"Belgium","Liquified Petroleum Gas","Net Deliveries",2021,2
"Belgium","Middle distillates","Consumption Pattern",2021,2
"Belgium","Naphtha","Net Deliveries",2021,2
"Belgium","Other oil products","Net Deliveries",2021,2
"Belgium","Residual fuel oil","Consumption Pattern",2021,2
"Belgium","Residual fuel oil","Net Deliveries",2021,2
"Belgium","Total gas oil production","Consumption Pattern",2021,2
"Belgium","Total gas oil production","Net Deliveries",2021,2
"Belgium","Total kerosene production","Net Deliveries",2021,2
"Belgium","Total oil production","Consumption Pattern",2021,2
"Belgium","Total oil products production","Consumption Pattern",2021,2
"Belgium","Total oil products production","Net Deliveries",2021,2
"Canada","Crude oil","Consumption Pattern",2021,2
"Canada","Crude oil","Industrial Production",2021,2
"Canada","Gasoline and diesel","Net Deliveries",2021,2
"Canada","Liquified Petroleum Gas","Net Deliveries",2021,2
"Canada","Middle distillates","Consumption Pattern",2021,2
"Canada","Naphtha","Net Deliveries",2021,2
"Canada","Other oil products","Net Deliveries",2021,2
"Canada","Residual fuel oil","Consumption Pattern",2021,2
"Canada","Residual fuel oil","Net Deliveries",2021,2
"Canada","Total gas oil production","Consumption Pattern",2021,2
"Canada","Total gas oil production","Net Deliveries",2021,2
"Canada","Total kerosene production","Net Deliveries",2021,2
"Canada","Total oil production","Consumption Pattern",2021,2
"Canada","Total oil products production","Consumption Pattern",2021,2
"Canada","Total oil products production","Net Deliveries",2021,2
"Chile","Crude oil","Consumption Pattern",2021,2
