raw_row_number,Origin Departure Date,Destination Arrival Date,origin_format_matches_yyyy_mm_dd,destination_format_matches_yyyy_mm_dd,origin_components_within_broad_ranges,destination_components_within_broad_ranges,destination_label_after_or_equal_origin
2,1398/12/28,1399/01/01,TRUE,TRUE,TRUE,TRUE,TRUE
3,1398/12/27,1399/01/01,TRUE,TRUE,TRUE,TRUE,TRUE
4,1398/12/28,1399/01/01,TRUE,TRUE,TRUE,TRUE,TRUE
5,1398/12/29,1399/01/02,TRUE,TRUE,TRUE,TRUE,TRUE
6,1398/12/28,1399/01/02,TRUE,TRUE,TRUE,TRUE,TRUE
7,1398/12/29,1399/01/02,TRUE,TRUE,TRUE,TRUE,TRUE
8,1399/01/01,1399/01/03,TRUE,TRUE,TRUE,TRUE,TRUE
9,1399/01/02,1399/01/03,TRUE,TRUE,TRUE,TRUE,TRUE
10,1399/01/01,1399/01/03,TRUE,TRUE,TRUE,TRUE,TRUE
11,1399/01/01,1399/01/03,TRUE,TRUE,TRUE,TRUE,TRUE
12,1398/12/27,1399/01/03,TRUE,TRUE,TRUE,TRUE,TRUE
13,1398/12/29,1399/01/03,TRUE,TRUE,TRUE,TRUE,TRUE
14,1399/01/02,1399/01/03,TRUE,TRUE,TRUE,TRUE,TRUE
15,1399/01/02,1399/01/04,TRUE,TRUE,TRUE,TRUE,TRUE
16,1399/01/02,1399/01/03,TRUE,TRUE,TRUE,TRUE,TRUE
17,1399/01/02,1399/01/04,TRUE,TRUE,TRUE,TRUE,TRUE
18,1399/01/03,1399/01/05,TRUE,TRUE,TRUE,TRUE,TRUE
19,1399/01/03,1399/01/05,TRUE,TRUE,TRUE,TRUE,TRUE
20,1399/01/04,1399/01/05,TRUE,TRUE,TRUE,TRUE,TRUE
21,1399/01/04,1399/01/06,TRUE,TRUE,TRUE,TRUE,TRUE
22,1399/01/03,1399/01/05,TRUE,TRUE,TRUE,TRUE,TRUE
23,1399/01/05,1399/01/06,TRUE,TRUE,TRUE,TRUE,TRUE
24,1399/01/04,1399/01/06,TRUE,TRUE,TRUE,TRUE,TRUE
25,1399/01/05,1399/01/06,TRUE,TRUE,TRUE,TRUE,TRUE
26,1399/01/05,1399/01/06,TRUE,TRUE,TRUE,TRUE,TRUE
27,1399/01/05,1399/01/06,TRUE,TRUE,TRUE,TRUE,TRUE
28,1399/01/05,1399/01/06,TRUE,TRUE,TRUE,TRUE,TRUE
29,1399/01/05,1399/01/06,TRUE,TRUE,TRUE,TRUE,TRUE
30,1399/01/04,1399/01/06,TRUE,TRUE,TRUE,TRUE,TRUE
31,1399/01/04,1399/01/06,TRUE,TRUE,TRUE,TRUE,TRUE
32,1399/01/05,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
33,1399/01/05,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
34,1399/01/05,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
35,1399/01/05,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
36,1399/01/05,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
37,1398/12/29,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
38,1399/01/06,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
39,1399/01/05,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
40,1399/01/05,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
41,1399/01/06,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
42,1399/01/05,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
43,1399/01/05,1399/01/07,TRUE,TRUE,TRUE,TRUE,TRUE
44,1399/01/06,1399/01/08,TRUE,TRUE,TRUE,TRUE,TRUE
45,1399/01/06,1399/01/08,TRUE,TRUE,TRUE,TRUE,TRUE
46,1399/01/06,1399/01/08,TRUE,TRUE,TRUE,TRUE,TRUE
47,1399/01/07,1399/01/08,TRUE,TRUE,TRUE,TRUE,TRUE
48,1399/01/07,1399/01/08,TRUE,TRUE,TRUE,TRUE,TRUE
49,1399/01/06,1399/01/09,TRUE,TRUE,TRUE,TRUE,TRUE
50,1399/01/06,1399/01/09,TRUE,TRUE,TRUE,TRUE,TRUE
51,1399/01/06,1399/01/09,TRUE,TRUE,TRUE,TRUE,TRUE
52,1399/01/18,1399/01/20,TRUE,TRUE,TRUE,TRUE,TRUE
53,1399/01/20,1399/01/22,TRUE,TRUE,TRUE,TRUE,TRUE
54,1399/01/25,1399/01/25,TRUE,TRUE,TRUE,TRUE,TRUE
55,1399/01/25,1399/01/25,TRUE,TRUE,TRUE,TRUE,TRUE
56,1399/01/25,1399/01/25,TRUE,TRUE,TRUE,TRUE,TRUE
57,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
58,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
59,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
60,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
61,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
62,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
63,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
64,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
65,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
66,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
67,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
