raw_row_number,Refinery,Type,Work shift,Origin Departure Date,Destination Arrival Date,Origin Net Weight,Destination Net Weight,origin_weight_numeric,destination_weight_numeric,destination_minus_origin,absolute_weight_difference,is_largest_absolute_difference,is_smallest_absolute_difference
2,Tehran,VB,Day shift,1398/12/28,1399/01/01,23720,23700,23720,23700,-20,20,FALSE,FALSE
3,Tehran,VB,Day shift,1398/12/27,1399/01/01,26080,25980,26080,25980,-100,100,FALSE,FALSE
4,Tehran,VB,Day shift,1398/12/28,1399/01/01,23260,23700,23260,23700,440,440,FALSE,FALSE
5,Tehran,VB,Day shift,1398/12/29,1399/01/02,26380,26300,26380,26300,-80,80,FALSE,FALSE
6,Tehran,VB,Day shift,1398/12/28,1399/01/02,25920,25900,25920,25900,-20,20,FALSE,FALSE
7,Tehran,VB,Day shift,1398/12/29,1399/01/02,24200,24200,24200,24200,0,0,FALSE,TRUE
8,Tehran,VB,Day shift,1399/01/01,1399/01/03,26600,26680,26600,26680,80,80,FALSE,FALSE
9,Tehran,VB,Day shift,1399/01/02,1399/01/03,23880,23940,23880,23940,60,60,FALSE,FALSE
10,Tehran,VB,Day shift,1399/01/01,1399/01/03,25920,25880,25920,25880,-40,40,FALSE,FALSE
11,Tehran,VB,Day shift,1399/01/01,1399/01/03,24540,24510,24540,24510,-30,30,FALSE,FALSE
12,Pars Petrochemical,C5+,Day shift,1398/12/27,1399/01/03,26710,26670,26710,26670,-40,40,FALSE,FALSE
13,Tehran,VB,Day shift,1398/12/29,1399/01/03,24940,24860,24940,24860,-80,80,FALSE,FALSE
14,Tehran,VB,Day shift,1399/01/02,1399/01/03,24460,24460,24460,24460,0,0,FALSE,TRUE
15,Tehran,VB,Day shift,1399/01/02,1399/01/04,26960,26920,26960,26920,-40,40,FALSE,FALSE
16,Tehran,VB,Day shift,1399/01/02,1399/01/03,23800,23830,23800,23830,30,30,FALSE,FALSE
17,Tehran,VB,Day shift,1399/01/02,1399/01/04,26720,26660,26720,26660,-60,60,FALSE,FALSE
18,Tehran,VB,Day shift,1399/01/03,1399/01/05,25920,25930,25920,25930,10,10,FALSE,FALSE
19,Tehran,VB,Day shift,1399/01/03,1399/01/05,24500,24500,24500,24500,0,0,FALSE,TRUE
20,Tehran,VB,Day shift,1399/01/04,1399/01/05,25460,25490,25460,25490,30,30,FALSE,FALSE
21,Tehran,VB,Day shift,1399/01/04,1399/01/06,26660,26640,26660,26640,-20,20,FALSE,FALSE
22,Tehran,VB,Day shift,1399/01/03,1399/01/05,23480,23470,23480,23470,-10,10,FALSE,FALSE
23,Tehran,VB,Day shift,1399/01/05,1399/01/06,24360,24410,24360,24410,50,50,FALSE,FALSE
24,Tehran,VB,Day shift,1399/01/04,1399/01/06,23820,23830,23820,23830,10,10,FALSE,FALSE
25,Tehran,VB,Day shift,1399/01/05,1399/01/06,23660,23730,23660,23730,70,70,FALSE,FALSE
26,Tehran,VB,Day shift,1399/01/05,1399/01/06,25980,25990,25980,25990,10,10,FALSE,FALSE
27,Tehran,VB,Day shift,1399/01/05,1399/01/06,25100,25110,25100,25110,10,10,FALSE,FALSE
28,Tehran,VB,Day shift,1399/01/05,1399/01/06,23280,23240,23280,23240,-40,40,FALSE,FALSE
29,Tehran,VB,Day shift,1399/01/05,1399/01/06,22880,22860,22880,22860,-20,20,FALSE,FALSE
30,Tehran,VB,Day shift,1399/01/04,1399/01/06,25140,25140,25140,25140,0,0,FALSE,TRUE
31,Tehran,VB,Day shift,1399/01/04,1399/01/06,26180,26130,26180,26130,-50,50,FALSE,FALSE
32,Tehran,VB,Day shift,1399/01/05,1399/01/07,26160,26360,26160,26360,200,200,FALSE,FALSE
