unit_measure,unit_of_measure,transport_mode,transport_mode_2,time_period,total_records,valid_records,missing_records,mean_obs_value,median_obs_value,sd_obs_value,iqr_obs_value,min_obs_value,max_obs_value
T,Tonnes,MAR,Maritime,2019,44,32,12,71003.71875,24818.5,115400.36068519537,99651,435,575074
T,Tonnes,MAR,Maritime,2020,43,31,12,68472.32258064517,27273,104025.82138084341,100575.5,512,499768
T,Tonnes,MAR,Maritime,2021,41,30,11,72550.03333333334,25470,112534.13982416343,107345,631,531709
T,Tonnes,MAR,Maritime,2022,39,28,11,63623.78571428572,18377,103625.98137331202,82293.75,799,503354
T,Tonnes,RAIL,Rail,2019,41,37,4,53433.54054054054,5040,255872.7514447795,17822,3,1565059
T,Tonnes,RAIL,Rail,2020,39,36,3,58700.333333333336,4610.5,283378.3143174005,16986.75,3,1709185
T,Tonnes,RAIL,Rail,2021,37,34,3,69162.5294117647,4612.5,336988.3089029751,19430.25,3,1974278
T,Tonnes,RAIL,Rail,2022,35,32,3,69199.3125,4949.5,326258.10889870196,19219.5,0,1854917
TEU,Twenty-foot equivalent units,MAR,Maritime,2019,47,35,12,6825862.542857143,2917166,8933194.721123401,9878828,25000,37600645
TEU,Twenty-foot equivalent units,MAR,Maritime,2020,46,34,12,6787364.823529412,3049007.5,8817980.00511118,9927488.5,22000,37324754
TEU,Twenty-foot equivalent units,MAR,Maritime,2021,43,32,11,7456719.6875,3223177,9539342.960591344,10303014.25,45025,40478089
TEU,Twenty-foot equivalent units,MAR,Maritime,2022,41,30,11,6927176.966666667,3140392.5,9162631.686046919,9071559.5,52278,40096869
TEU,Twenty-foot equivalent units,RAIL,Rail,2019,34,30,4,895763.9333333333,271142.5,1525990.1628936997,919612.5,664,7133194
TEU,Twenty-foot equivalent units,RAIL,Rail,2020,33,30,3,868112.9,182901.5,1495198.626866986,1029012.25,876,7086209
TEU,Twenty-foot equivalent units,RAIL,Rail,2021,31,28,3,1000755.9642857143,278575,1687573.0310464478,1254601.5,1058,7815751
TEU,Twenty-foot equivalent units,RAIL,Rail,2022,30,27,3,1053352.148148148,320617,1700255.494991962,1360550,96,7747332
