ref_area,reference_area,transport_mode,transport_mode_2,valid_years,mean_volume,median_volume,min_volume,max_volume,unit,mode_rank
USA,United States,MAR,Maritime,4,38875089.25,38848757,37324754,40478089,TEU,1
KOR,Korea,MAR,Maritime,4,29296706,29163075,28822371,30038303,TEU,2
JPN,Japan,MAR,Maritime,3,22504492,22473134,21668180,23372162,TEU,3
ESP,Spain,MAR,Maritime,4,17259598,17279211.5,16771172,17708797,TEU,4
NLD,Netherlands,MAR,Maritime,4,15049740,15031244.5,14562102,15574369,TEU,5
DEU,Germany,MAR,Maritime,4,14401273.75,14373610.5,13856306,15001568,TEU,6
BEL,Belgium,MAR,Maritime,4,12459063.5,12454009,12200000,12728236,TEU,7
TUR,Türkiye,MAR,Maritime,4,12044085,11996516,11591838,12591470,TEU,8
ITA,Italy,MAR,Maritime,4,10598870.25,10663326,10130487,10938342,TEU,9
GBR,United Kingdom,MAR,Maritime,4,10060250,10048500,9676000,10468000,TEU,10
MEX,Mexico,MAR,Maritime,4,7434945.75,7482310,6463365,8311798,TEU,11
CAN,Canada,MAR,Maritime,4,6996350,7019150,6802500,7144600,TEU,12
FRA,France,MAR,Maritime,4,5951384,6036087,5254491,6478871,TEU,13
GRC,Greece,MAR,Maritime,4,5425657.25,5379024.5,4850624,6093956,TEU,14
CHL,Chile,MAR,Maritime,4,4295792.75,4217155,4136950,4611911,TEU,15
RUS,Russia,MAR,Maritime,2,4095265.5,4095265.5,4067749,4122782,TEU,16
PRT,Portugal,MAR,Maritime,4,3110793.5,3108219.5,2913478,3313257,TEU,17
NZL,New Zealand,MAR,Maritime,4,3098574.5,3060910,3048044,3224434,TEU,18
ISR,Israel,MAR,Maritime,3,3033212.6666666665,3049375,2917166,3133097,TEU,19
POL,Poland,MAR,Maritime,4,2765908,2771009.5,2607318,2914295,TEU,20
FIN,Finland,MAR,Maritime,4,1491605.75,1469955,1408634,1617879,TEU,21
SWE,Sweden,MAR,Maritime,4,1251895.5,1253662,1209336,1290922,TEU,22
IRL,Ireland,MAR,Maritime,4,1112983.5,1108941,1058201,1175851,TEU,23
SVN,Slovenia,MAR,Maritime,4,947287.5,947699,918054,975698,TEU,24
NOR,Norway,MAR,Maritime,4,903961.75,914544.5,851583,935175,TEU,25
LTU,Lithuania,MAR,Maritime,4,764862,686180,639006,1048082,TEU,26
ROU,Romania,MAR,Maritime,1,664695,664695,664695,664695,TEU,27
GEO,Georgia,MAR,Maritime,4,504166.5,483732,401386,647816,TEU,28
LVA,Latvia,MAR,Maritime,4,457288.25,464027,428879,472220,TEU,29
HRV,Croatia,MAR,Maritime,4,363928.5,352186.5,331303,420038,TEU,30
BGR,Bulgaria,MAR,Maritime,4,300947,303950,282798,313090,TEU,31
EST,Estonia,MAR,Maritime,4,241139,234513.5,215905,279624,TEU,32
ALB,Albania,MAR,Maritime,4,140333.25,141303,132965,145762,TEU,33
AZE,Azerbaijan,MAR,Maritime,4,43168,42685,35024,52278,TEU,34
KAZ,Kazakhstan,MAR,Maritime,2,23500,23500,22000,25000,TEU,35
DEU,Germany,RAIL,Rail,4,7445621.5,7440263,7086209,7815751,TEU,1
CAN,Canada,RAIL,Rail,4,4065234,4161959,3732383,4204635,TEU,2
ITA,Italy,RAIL,Rail,4,2601366,2558546,2474900,2813472,TEU,3
POL,Poland,RAIL,Rail,4,2345450.25,2379771.5,2049424,2572834,TEU,4
AUT,Austria,RAIL,Rail,4,1902339,1908559,1699626,2092612,TEU,5
NLD,Netherlands,RAIL,Rail,4,1737910.75,1733821.5,1601000,1883000,TEU,6
CZE,Czechia,RAIL,Rail,4,1702306,1680445,1656659,1791675,TEU,7
TUR,Türkiye,RAIL,Rail,4,1176159,1188418,1081716,1246084,TEU,8
BLR,Belarus,RAIL,Rail,2,867707,867707,732906,1002508,TEU,9
SVK,Slovak Republic,RAIL,Rail,4,531975.5,661688,106780,697746,TEU,10
SVN,Slovenia,RAIL,Rail,4,531357,532072,515472,545812,TEU,11
SWE,Sweden,RAIL,Rail,4,459735.5,463049,418631,494213,TEU,12
HUN,Hungary,RAIL,Rail,4,430709.25,351514,293051,726758,TEU,13
PRT,Portugal,RAIL,Rail,4,414163.5,409042,402863,435707,TEU,14
NOR,Norway,RAIL,Rail,4,309104.5,309729.5,296342,320617,TEU,15
ISR,Israel,RAIL,Rail,3,218634.66666666666,219695,203063,233146,TEU,16
LTU,Lithuania,RAIL,Rail,4,177936.5,155748,144838,255412,TEU,17
HRV,Croatia,RAIL,Rail,4,151396.75,158567,106817,181636,TEU,18
LUX,Luxembourg,RAIL,Rail,4,125621.75,125829,74283,176546,TEU,19
BGR,Bulgaria,RAIL,Rail,4,113569.5,124937.5,39005,165398,TEU,20
CHL,Chile,RAIL,Rail,3,102562.66666666667,111128,76030,120530,TEU,21
ROU,Romania,RAIL,Rail,1,100777,100777,100777,100777,TEU,22
