ref_area,reference_area,transport_mode,transport_mode_2,valid_years,mean_volume,median_volume,min_volume,max_volume,unit,mode_rank
KOR,Korea,MAR,Maritime,4,527476.25,517531.5,499768,575074,Tonnes,1
JPN,Japan,MAR,Maritime,3,281819.6666666667,282141,268789,294529,Tonnes,2
ESP,Spain,MAR,Maritime,4,193731,194536.5,187568,198283,Tonnes,3
MEX,Mexico,MAR,Maritime,4,177022.75,178150.5,153890,197900,Tonnes,4
NLD,Netherlands,MAR,Maritime,4,132215.25,133819,123319,137904,Tonnes,5
TUR,Türkiye,MAR,Maritime,4,125646,125978,118768,131860,Tonnes,6
DEU,Germany,MAR,Maritime,4,118715.25,119282.5,111039,125257,Tonnes,7
BEL,Belgium,MAR,Maritime,4,117071.5,118922.5,109138,121303,Tonnes,8
ITA,Italy,MAR,Maritime,4,93294.75,94813,81683,101870,Tonnes,9
GBR,United Kingdom,MAR,Maritime,4,63520.25,62769,61778,66765,Tonnes,10
RUS,Russia,MAR,Maritime,2,57084,57084,56503,57665,Tonnes,11
FRA,France,MAR,Maritime,4,55171.75,56796,47877,59218,Tonnes,12
GRC,Greece,MAR,Maritime,4,47443.75,47620.5,40288,54246,Tonnes,13
CHL,Chile,MAR,Maritime,4,40636.5,40782,39392,41590,Tonnes,14
PRT,Portugal,MAR,Maritime,4,28535,28532.5,26552,30523,Tonnes,15
ISR,Israel,MAR,Maritime,3,27226.666666666668,27273,26582,27825,Tonnes,16
POL,Poland,MAR,Maritime,4,22653,22920.5,21656,23115,Tonnes,17
SWE,Sweden,MAR,Maritime,4,13914.5,13965.5,13536,14191,Tonnes,18
FIN,Finland,MAR,Maritime,4,11862.5,11644,11160,13002,Tonnes,19
SVN,Slovenia,MAR,Maritime,4,8788,8999,8120,9034,Tonnes,20
IRL,Ireland,MAR,Maritime,4,8267,8233,7806,8796,Tonnes,21
ISL,Iceland,MAR,Maritime,4,7534.25,7706.5,6970,7754,Tonnes,22
LTU,Lithuania,MAR,Maritime,4,6833.25,6596,5958,8183,Tonnes,23
NOR,Norway,MAR,Maritime,4,6731.5,6693.5,6411,7128,Tonnes,24
ROU,Romania,MAR,Maritime,1,5250,5250,5250,5250,Tonnes,25
LVA,Latvia,MAR,Maritime,4,4674.25,4727,4358,4885,Tonnes,26
GEO,Georgia,MAR,Maritime,4,4516.25,4421.5,3723,5499,Tonnes,27
HRV,Croatia,MAR,Maritime,4,3393.25,3314.5,3138,3806,Tonnes,28
BGR,Bulgaria,MAR,Maritime,4,2656,2623,2591,2787,Tonnes,29
EST,Estonia,MAR,Maritime,4,1984.75,1936,1814,2253,Tonnes,30
ALB,Albania,MAR,Maritime,4,1660,1669,1549,1753,Tonnes,31
AZE,Azerbaijan,MAR,Maritime,4,594.25,571.5,435,799,Tonnes,32
LUX,Luxembourg,RAIL,Rail,4,1775859.75,1782051,1565059,1974278,Tonnes,1
DEU,Germany,RAIL,Rail,4,68591.25,68498.5,63686,73682,Tonnes,2
RUS,Russia,RAIL,Rail,2,52486.5,52486.5,48027,56946,Tonnes,3
ITA,Italy,RAIL,Rail,4,45173.5,45933,41046,47782,Tonnes,4
CAN,Canada,RAIL,Rail,4,36040.25,36926,33171,37138,Tonnes,5
AUT,Austria,RAIL,Rail,4,22547.75,22659,21296,23577,Tonnes,6
JPN,Japan,RAIL,Rail,3,21866,21273,20819,23506,Tonnes,7
POL,Poland,RAIL,Rail,4,21616.75,22155.5,18696,23460,Tonnes,8
CHE,Switzerland,RAIL,Rail,4,20144.25,20887.5,16963,21839,Tonnes,9
FRA,France,RAIL,Rail,4,19834.5,20183,17895,21077,Tonnes,10
NLD,Netherlands,RAIL,Rail,4,19081,18973.5,17975,20402,Tonnes,11
TUR,Türkiye,RAIL,Rail,4,16662.25,16928,14911,17882,Tonnes,12
CZE,Czechia,RAIL,Rail,4,15398,15343,14851,16055,Tonnes,13
KOR,Korea,RAIL,Rail,4,9029,9107,8429,9473,Tonnes,14
BLR,Belarus,RAIL,Rail,2,7329,7329,6178,8480,Tonnes,15
SWE,Sweden,RAIL,Rail,4,6740.75,6887.5,5766,7422,Tonnes,16
ESP,Spain,RAIL,Rail,4,6567.25,6518.5,6335,6897,Tonnes,17
HUN,Hungary,RAIL,Rail,4,5076,4478.5,4133,7214,Tonnes,18
PRT,Portugal,RAIL,Rail,4,4757.25,4744.5,4500,5040,Tonnes,19
SVK,Slovak Republic,RAIL,Rail,4,4235.25,5358.5,589,5635,Tonnes,20
SVN,Slovenia,RAIL,Rail,4,4198.75,4112.5,4015,4555,Tonnes,21
NOR,Norway,RAIL,Rail,4,2557,2581.5,2419,2646,Tonnes,22
ISR,Israel,RAIL,Rail,3,2285.6666666666665,2176,2134,2547,Tonnes,23
HRV,Croatia,RAIL,Rail,4,1855,1906,1310,2298,Tonnes,24
BGR,Bulgaria,RAIL,Rail,4,1835.25,1909,539,2984,Tonnes,25
ROU,Romania,RAIL,Rail,1,1642,1642,1642,1642,Tonnes,26
LTU,Lithuania,RAIL,Rail,4,1526.25,1472,1287,1874,Tonnes,27
GEO,Georgia,RAIL,Rail,4,1324.75,1297,1202,1503,Tonnes,28
LVA,Latvia,RAIL,Rail,4,1012.5,959.5,848,1283,Tonnes,29
AZE,Azerbaijan,RAIL,Rail,4,971.5,924,786,1252,Tonnes,30
FIN,Finland,RAIL,Rail,4,800,839,631,891,Tonnes,31
CHL,Chile,RAIL,Rail,4,752.5,770.5,492,977,Tonnes,32
GRC,Greece,RAIL,Rail,4,738.75,714,691,836,Tonnes,33
EST,Estonia,RAIL,Rail,4,524.25,552.5,356,636,Tonnes,34
IRL,Ireland,RAIL,Rail,4,143.25,149,114,161,Tonnes,35
NZL,New Zealand,RAIL,Rail,4,10.5,10.5,10,11,Tonnes,36
MDA,Moldova,RAIL,Rail,4,2.25,3,0,3,Tonnes,37
