scope,ownership_path_records,valid_reported_capacity_path_records,missing_or_placeholder_capacity_path_records,minimum_reported_capacity,median_reported_capacity,mean_reported_capacity,maximum_reported_capacity
overall,11760,9401,2359,0,200000,346036.00337410916,5000000
(Missing status),1,0,1,,,,
cancelled,861,648,213,35846.71,300000,434568.3236111111,2040000
construction,388,313,75,0,251027.4,246435.88587859424,2250000
idle,332,307,25,12000,321315.07,328498.488534202,542219.18
mothballed,61,54,7,48000,300000,359804.51407407405,1650000
operating,9273,7486,1787,386,180000,321026.3408736308,5000000
proposed,678,501,177,0,502054.79,686638.6794411178,2250000
retired,129,77,52,30123.29,120493.15,234164.1087012987,803287.67
shelved,37,15,22,120493.15,250000,588765.2966666666,2000000
