parent_gem_entity_id,parent,immediate_project_owner_gem_entity_id,immediate_project_owner,ownership_path_records
E100000132388,unknown,E100000132388,unknown,235
E100001000094,Government of Russia,E100001014432,Transneft PJSC,140
E100001014432,Transneft PJSC,E100001014432,Transneft PJSC,140
E100001015587,small shareholder(s),E100001014432,Transneft PJSC,114
E100000000556,National Iranian Oil Co,E100000000556,National Iranian Oil Co,84
E100001015106,Ministry of Petroleum (Iran),E100000000556,National Iranian Oil Co,84
E100000000571,Ministry of Oil (Iraq),E100000000571,Ministry of Oil (Iraq),70
E100000000112,Enbridge Inc,E100000000112,Enbridge Inc,67
E100001014312,Royal Bank of Canada,E100000000112,Enbridge Inc,67
E100001015587,small shareholder(s),E100000000112,Enbridge Inc,66
E100001000279,Government of Libya,E100001015251,National Oil Corp,52
E100001010777,Government of Poland,E100001015373,Pern SA,52
E100001015251,National Oil Corp,E100001015251,National Oil Corp,52
E100001015373,Pern SA,E100001015373,Pern SA,52
E100001000264,Government of Hungary,E100000000505,MOL Magyar Olajes Gazipari Nyrt,49
E100001000094,Government of Russia,E100002001363,Transneft-Druzhba JSC,48
E100001000243,Government of Slovakia,E100001015971,Transpetrol AS,48
E100001014432,Transneft PJSC,E100002001363,Transneft-Druzhba JSC,48
E100001015587,small shareholder(s),E100002001363,Transneft-Druzhba JSC,48
E100001015971,Transpetrol AS,E100001015971,Transpetrol AS,48
E100000000888,Saudi Arabian Oil Co,E100001000322,Saudi Aramco Power Co,46
E100001000198,Government of Saudi Arabia,E100001000322,Saudi Aramco Power Co,46
E100001015587,small shareholder(s),E100001000322,Saudi Aramco Power Co,46
E100000000173,China Petrochemical Corp,E100001014455,China Petroleum & Chemical Corp,42
E100000000003,Sonatrach SpA,E100000000003,Sonatrach SpA,35
E100001000008,Government of Algeria,E100000000003,Sonatrach SpA,35
E100000000839,Government of Qatar,E100000000839,Government of Qatar,33
E100000001079,Abu Dhabi National Oil Co,E100000001079,Abu Dhabi National Oil Co,32
E100001000095,Emirate of Abu Dhabi (United Arab Emirates),E100000001079,Abu Dhabi National Oil Co,32
E100001014325,Plains All American Pipeline LP,E100001014325,Plains All American Pipeline LP,32
E100001014648,ALPS Advisors Inc,E100001014325,Plains All American Pipeline LP,32
E100001014681,Energy Income Partners LLC,E100001014325,Plains All American Pipeline LP,32
E100001015850,Plains GP Holdings LP,E100001014325,Plains All American Pipeline LP,32
E100001015852,Tortoise Capital Advisors LLC,E100001014325,Plains All American Pipeline LP,32
E100002019433,EIP EP LLC,E100001014325,Plains All American Pipeline LP,32
E100002021868,ALPS holdings Inc,E100001014325,Plains All American Pipeline LP,32
E100002022201,Tortoise Borrower LLC,E100001014325,Plains All American Pipeline LP,32
E100000000320,Ministry of Mines and Energy (Colombia),E100001014393,Cenit Transporte y Logística de Hidrocarburos SAS,30
E100000000610,Eni SpA,E100000000610,Eni SpA,30
E100000002892,Ecopetrol SA,E100001014393,Cenit Transporte y Logística de Hidrocarburos SAS,30
E100001013560,Cassa Depositi e Prestiti SpA,E100000000610,Eni SpA,30
E100001015587,small shareholder(s),E100000000610,Eni SpA,30
E100001016677,Government of Italy,E100000000610,Eni SpA,30
E100000001075,Naftogaz of Ukraine JSC,E100001015372,Ukrtransnafta JSC,29
E100001000269,Government of Ukraine,E100001015372,Ukrtransnafta JSC,29
E100001014282,Enterprise Products Partners LP,E100001014282,Enterprise Products Partners LP,29
E100001014689,Enterprise Products Co,E100001014282,Enterprise Products Partners LP,29
E100001015587,small shareholder(s),E100001014393,Cenit Transporte y Logística de Hidrocarburos SAS,29
E100000001492,Gazprom PJSC,E100000001492,Gazprom PJSC,28
E100000121185,Rosneftegaz JSC,E100000001492,Gazprom PJSC,28
E100001000210,Government of Kuwait,E100001015356,Kuwait Petroleum Corp,28
E100001000270,Federal Agency for State Property Management (Russia),E100000001492,Gazprom PJSC,28
E100001015356,Kuwait Petroleum Corp,E100001015356,Kuwait Petroleum Corp,28
E100000123261,natural person(s),E100001014282,Enterprise Products Partners LP,27
E100001000094,Government of Russia,E100000001492,Gazprom PJSC,27
E100001015587,small shareholder(s),E100000001492,Gazprom PJSC,27
E100000000610,Eni SpA,E100000003733,PCK Raffinerie GmbH,26
E100000000746,Shell PLC,E100000003733,PCK Raffinerie GmbH,26
E100000000839,Government of Qatar,E100000003733,PCK Raffinerie GmbH,26
E100000000845,Qatar Investment Authority,E100000003733,PCK Raffinerie GmbH,26
E100000000874,Rosneft PJSC,E100000003733,PCK Raffinerie GmbH,26
E100000001096,BP PLC,E100000003733,PCK Raffinerie GmbH,26
E100000001107,European Bank for Reconstruction and Development,E100000003733,PCK Raffinerie GmbH,26
E100000001332,Petróleos de Venezuela SA,E100000001332,Petróleos de Venezuela SA,26
E100000121185,Rosneftegaz JSC,E100000003733,PCK Raffinerie GmbH,26
E100000136108,State Street Bank and Trust Co,E100000003733,PCK Raffinerie GmbH,26
E100001000094,Government of Russia,E100000003733,PCK Raffinerie GmbH,26
E100001000253,Government of Germany,E100000003733,PCK Raffinerie GmbH,26
E100001000270,Federal Agency for State Property Management (Russia),E100000003733,PCK Raffinerie GmbH,26
E100001000281,Government of Venezuela,E100000001332,Petróleos de Venezuela SA,26
E100001000330,Qatar Holding LLC,E100000003733,PCK Raffinerie GmbH,26
E100001000348,BlackRock Inc,E100000003733,PCK Raffinerie GmbH,26
E100001000483,Ministry of Finance (Czech Republic),E100001015268,MERO ČR AS,26
E100001000484,Government of Czech Republic,E100001015268,MERO ČR AS,26
E100001000615,Guaranty Nominees Ltd,E100000003733,PCK Raffinerie GmbH,26
E100001010595,The Vanguard Group Inc,E100000003733,PCK Raffinerie GmbH,26
E100001010596,State Street Corp,E100000003733,PCK Raffinerie GmbH,26
E100001013560,Cassa Depositi e Prestiti SpA,E100000003733,PCK Raffinerie GmbH,26
E100001015268,MERO ČR AS,E100001015268,MERO ČR AS,26
E100001015587,small shareholder(s),E100000003733,PCK Raffinerie GmbH,26
E100001015833,Blackrock Advisors LLC,E100000003733,PCK Raffinerie GmbH,26
E100001015988,BP Russian Investments Ltd,E100000003733,PCK Raffinerie GmbH,26
E100001015989,QH Oil Investments LLC,E100000003733,PCK Raffinerie GmbH,26
E100001015991,National Settlement Depository JSC,E100000003733,PCK Raffinerie GmbH,26
E100001015992,RN-NeftKapitalInvest LLC,E100000003733,PCK Raffinerie GmbH,26
E100001016677,Government of Italy,E100000003733,PCK Raffinerie GmbH,26
E100001016771,Moscow Exchange MICEX-RTS PJSC,E100000003733,PCK Raffinerie GmbH,26
E100002000989,State Development Corporation VEB.RF,E100000003733,PCK Raffinerie GmbH,26
E100002004413,RN Refining & Marketing GmbH,E100000003733,PCK Raffinerie GmbH,26
E100002004538,Central Bank of the Russian Federation,E100000003733,PCK Raffinerie GmbH,26
E100002004539,Sberbank PJSC,E100000003733,PCK Raffinerie GmbH,26
E100002007653,Bp International Ltd,E100000003733,PCK Raffinerie GmbH,26
E100002007660,J.P. Morgan Capital Holdings Ltd,E100000003733,PCK Raffinerie GmbH,26
E100002016408,Ministry of Finance (Russia),E100000003733,PCK Raffinerie GmbH,26
E100000000505,MOL Magyar Olajes Gazipari Nyrt,E100000000505,MOL Magyar Olajes Gazipari Nyrt,25
E100000123261,natural person(s),E100001014325,Plains All American Pipeline LP,25
E100001014865,Belneftekhim Concern GP,E100001014864,Gomeltransneft Druzhba JSC,25
E100001015274,MOL New Europe Foundation,E100000000505,MOL Magyar Olajes Gazipari Nyrt,25
E100001015275,Mathias Corvinus Collegium Foundation,E100000000505,MOL Magyar Olajes Gazipari Nyrt,25
E100001015276,Maecenas Universitatis Corvini Foundation,E100000000505,MOL Magyar Olajes Gazipari Nyrt,25
E100001015587,small shareholder(s),E100000000505,MOL Magyar Olajes Gazipari Nyrt,25
E100001015587,small shareholder(s),E100001014282,Enterprise Products Partners LP,25
E100000000387,TotalEnergies SE,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100000000610,Eni SpA,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100000000694,Vitol Holding II SA,E100002008089,Latvian Transit SIA,24
E100000000746,Shell PLC,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100000000839,Government of Qatar,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100000000845,Qatar Investment Authority,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100000000874,Rosneft PJSC,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100000001096,BP PLC,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100000001107,European Bank for Reconstruction and Development,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100000001177,CenterPoint Energy Inc,E100001014294,Energy Transfer LP,24
E100000121185,Rosneftegaz JSC,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100000123261,natural person(s),E100001014294,Energy Transfer LP,24
E100000136108,State Street Bank and Trust Co,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001000094,Government of Russia,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001000253,Government of Germany,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001000270,Federal Agency for State Property Management (Russia),E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001000330,Qatar Holding LLC,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001000348,BlackRock Inc,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001000615,Guaranty Nominees Ltd,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001000901,The Capital Group Companies Inc,E100001014294,Energy Transfer LP,24
E100001010595,The Vanguard Group Inc,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001010596,State Street Corp,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001010706,Capital International Investors,E100001014294,Energy Transfer LP,24
E100001010707,Capital Research and Management Co,E100001014294,Energy Transfer LP,24
E100001013560,Cassa Depositi e Prestiti SpA,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001014294,Energy Transfer LP,E100001014294,Energy Transfer LP,24
E100001014434,T. Rowe Price Investment Management Inc,E100001014294,Energy Transfer LP,24
E100001014543,Capital Research Global Investors,E100001014294,Energy Transfer LP,24
E100001015587,small shareholder(s),E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001015833,Blackrock Advisors LLC,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001015988,BP Russian Investments Ltd,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001015989,QH Oil Investments LLC,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001015991,National Settlement Depository JSC,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001015992,RN-NeftKapitalInvest LLC,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001016645,T. Rowe Price Group Inc,E100001014294,Energy Transfer LP,24
E100001016677,Government of Italy,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100001016771,Moscow Exchange MICEX-RTS PJSC,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100002000989,State Development Corporation VEB.RF,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100002001974,member/employee owned,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100002004413,RN Refining & Marketing GmbH,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100002004538,Central Bank of the Russian Federation,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100002004539,Sberbank PJSC,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100002007653,Bp International Ltd,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100002007660,J.P. Morgan Capital Holdings Ltd,E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100002016408,Ministry of Finance (Russia),E100001015277,Mineralölverbundleitung Schwedt GmbH,24
E100000180733,China National Petroleum Corp,E100000180733,China National Petroleum Corp,23
E100001015587,small shareholder(s),E100001014325,Plains All American Pipeline LP,23
E100000001860,Egyptian General Petroleum Corp,E100000001860,Egyptian General Petroleum Corp,22
E100001000147,Ministry of Petroleum and Mineral Resources (Egypt),E100000001860,Egyptian General Petroleum Corp,22
