parent_headquarters_country,ownership_path_records,distinct_parent_entities
United States,3299,124
(Missing owner geography),2020,31
Russia,1384,30
United Kingdom,711,38
Qatar,340,5
China,326,48
Italy,293,6
Canada,283,26
Japan,207,21
Kazakhstan,201,6
Iran,188,3
Hungary,169,5
Australia,131,20
India,129,11
Poland,110,7
Germany,109,7
Libya,105,3
Saudi Arabia,101,3
United Arab Emirates,98,9
Slovakia,96,2
France,85,4
Ukraine,82,2
Iraq,80,5
Czech Republic,78,3
Egypt,75,3
Algeria,72,2
Luxembourg,72,7
Colombia,70,2
Brazil,69,7
Kuwait,66,5
Argentina,62,7
Norway,52,11
Venezuela,52,2
Azerbaijan,38,3
Nigeria,32,12
Thailand,29,15
Austria,27,3
Bolivia,26,2
Belarus,25,1
Croatia,25,5
Chile,24,10
Spain,24,11
Mexico,21,3
Oman,19,3
South Korea,15,9
Ecuador,14,2
Hong Kong,14,3
Netherlands,14,9
Belgium,12,2
Indonesia,12,6
Türkiye,12,4
Pakistan,10,6
Turkmenistan,10,2
Peru,9,3
Israel,7,3
Singapore,7,4
Lithuania,6,3
Bermuda,5,3
Angola,4,2
Bahrain,4,2
Bangladesh,4,2
Cuba,4,2
Cyprus,4,2
Georgia,4,2
Malaysia,4,2
New Zealand,4,4
Panama,4,2
Romania,4,4
Serbia,4,3
Sri Lanka,4,2
Taiwan,4,2
Tanzania,4,2
Yemen,4,2
Denmark,3,3
Virgin Islands (British),3,1
Bahamas,2,2
Barbados,2,1
Bulgaria,2,2
Cayman Islands,2,1
Ethiopia,2,2
Greece,2,2
Ireland,2,1
Isle of Man,2,1
Liechtenstein,2,1
South Africa,2,2
Sudan,2,2
Switzerland,2,2
Trinidad and Tobago,2,2
Tunisia,2,2
Uruguay,2,2
Uzbekistan,2,2
Zambia,2,1
Cambodia,1,1
Chad,1,1
Gabon,1,1
Jersey,1,1
Mauritius,1,1
Niger,1,1
Papua New Guinea,1,1
Uganda,1,1
