parent_registration_country,ownership_path_records,distinct_parent_entities
United States,3296,123
(Missing owner geography),2301,60
Russia,1383,29
United Kingdom,711,38
Qatar,340,5
China,313,42
Italy,293,6
Canada,283,26
Japan,207,21
Iran,188,3
Kazakhstan,166,5
Australia,131,20
India,129,11
Hungary,116,4
Germany,109,7
Libya,105,3
Saudi Arabia,101,3
United Arab Emirates,98,9
Slovakia,96,2
France,85,4
Ukraine,82,2
Iraq,79,4
Algeria,72,2
Luxembourg,72,7
Kuwait,66,5
Argentina,62,7
Poland,58,6
Brazil,56,6
Czech Republic,52,2
Venezuela,52,2
Egypt,50,2
Norway,50,10
Azerbaijan,38,3
Mexico,36,4
Colombia,35,1
Thailand,27,14
Bolivia,26,2
Belarus,25,1
Croatia,25,5
Chile,24,10
Spain,24,11
Nigeria,19,9
Oman,19,3
Austria,18,2
South Korea,15,9
Ecuador,14,2
Hong Kong,14,3
Netherlands,14,9
Belgium,12,2
Indonesia,12,6
Pakistan,10,6
Turkmenistan,10,2
Türkiye,9,3
Cyprus,7,3
Israel,7,3
Singapore,7,4
Bermuda,5,3
Cayman Islands,5,2
Angola,4,2
Bahrain,4,2
Cuba,4,2
Georgia,4,2
Lithuania,4,2
New Zealand,4,4
Panama,4,2
Serbia,4,3
Sri Lanka,4,2
Taiwan,4,2
Tanzania,4,2
Yemen,4,2
Denmark,3,3
Peru,3,1
Romania,3,3
Virgin Islands (British),3,1
Bahamas,2,2
Bangladesh,2,1
Barbados,2,1
Bulgaria,2,2
Greece,2,2
Ireland,2,1
Isle of Man,2,1
Jersey,2,2
Liechtenstein,2,1
Malaysia,2,1
South Africa,2,2
Trinidad and Tobago,2,2
Tunisia,2,2
Uzbekistan,2,2
Zambia,2,1
Cambodia,1,1
Chad,1,1
Ethiopia,1,1
Gabon,1,1
Mauritius,1,1
Niger,1,1
Papua New Guinea,1,1
Sudan,1,1
Switzerland,1,1
Uganda,1,1
Uruguay,1,1
