project_id,project_name,ownership_path_records,distinct_parent_entities,distinct_immediate_owners,statuses_as_reported,valid_reported_capacity_path_records,missing_or_placeholder_capacity_path_records,distinct_reported_capacity_values
P0653,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P2020,Druzhba Oil Pipeline,101,52,11,cancelled,101,0,1
P2021,Druzhba Oil Pipeline,101,52,11,cancelled,101,0,1
P2022,Druzhba Oil Pipeline,101,52,11,cancelled,0,101,0
P5133,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5134,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5137,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5146,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5188,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5189,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5190,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5207,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5322,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5323,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5324,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5325,Druzhba Oil Pipeline,101,52,11,idle,101,0,1
P5326,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5327,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5329,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5330,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P5331,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P6307,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P7279,Druzhba Oil Pipeline,101,52,11,idle,101,0,1
P7280,Druzhba Oil Pipeline,101,52,11,operating,101,0,1
P3678,Chayvo-De-Kastri Oil Pipeline,56,56,4,operating,56,0,1
P3720,Chayvo-De-Kastri Oil Pipeline,56,56,4,operating,0,56,0
P3721,Chayvo-De-Kastri Oil Pipeline,56,56,4,operating,0,56,0
P0667,Burgas-Alexandroupolis Oil Pipeline,47,47,5,proposed,47,0,1
P0060,Diamond Oil Pipeline,45,15,4,operating,45,0,1
P0646,Caspian Pipeline,45,45,9,operating,45,0,1
P2044,Caspian Pipeline,45,45,9,operating,45,0,1
P2525,Diamond Oil Pipeline,45,15,4,cancelled,45,0,1
P3172,Diamond Oil Pipeline,45,15,4,cancelled,0,45,0
P0679,Transalpine Oil Pipeline,41,41,1,operating,41,0,1
P5167,Transalpine Oil Pipeline,41,41,1,proposed,41,0,1
P6261,Transalpine Oil Pipeline,41,41,1,operating,0,41,0
P0643,Baku-Supsa Oil Pipeline,39,39,1,idle,39,0,1
P2019,Baku-Supsa Oil Pipeline,39,39,1,idle,39,0,1
P3708,Suzun–Vankor Oil Pipeline,34,34,1,operating,0,34,0
P0677,Rostock-Schwedt Oil Pipeline,33,33,1,operating,33,0,1
P6331,Rostock-Schwedt Oil Pipeline,33,33,1,proposed,0,33,0
P0073,EPIC Oil Pipeline,32,32,3,operating,32,0,1
P0344,Wink to Webster Pipeline,32,32,6,operating,32,0,1
P5464,Angostura-Guayaguayare Oil Pipeline,32,31,3,operating,32,0,1
P0046,Cactus II Oil Pipeline,31,27,2,operating,31,0,1
P0662,Samsun–Ceyhan Pipeline,31,31,3,cancelled,31,0,1
P2623,Cactus II Oil Pipeline,31,27,2,operating,31,0,1
P3594,Shin Oak NGL Pipeline,31,31,2,operating,0,31,0
P4277,Shin Oak NGL Pipeline,31,31,2,cancelled,31,0,1
P0673,North-West Oil Pipeline Network,30,29,2,operating,30,0,1
P1209,Moomba to Port Bonython Oil Pipeline,30,30,3,operating,30,0,1
P3102,North-West Oil Pipeline Network,30,29,2,operating,30,0,1
P3156,Blue Marlin Offshore Port (BMOP) Oil Pipeline,30,15,2,proposed,30,0,1
P3675,Vostok Oil Pipeline,30,30,1,construction,30,0,1
P7155,Vostok Oil Pipeline,30,30,1,proposed,30,0,1
P7156,Vostok Oil Pipeline,30,30,1,proposed,30,0,1
P7160,Vostok Oil Pipeline,30,30,1,construction,30,0,1
P7348,Blue Marlin Offshore Port (BMOP) Oil Pipeline,30,15,2,proposed,30,0,1
P7227,Satah-Zirku Island Oil Pipeline,29,29,3,operating,29,0,1
P7228,Umm Al Dalkh-Upper Zakum Oil Pipeline,29,29,3,operating,0,29,0
P7229,Bida Al Qemzan-Bu Hasa Oil Pipeline,29,29,3,operating,0,29,0
P1214,Lycium to Moomba Oil Pipeline,28,28,2,operating,28,0,1
P1215,Growler to Lycium Oil Pipeline,28,28,2,operating,28,0,1
