summary_type,product,flow,metric,count
overall,,,repeated_2021_keys,540
overall,,,physical_2021_records_in_repeated_keys,1080
overall,,,conflicting_keys,496
overall,,,exact_duplicate_groups,44
consumption_pattern_2021_to_2022_raw_value_match,Crude oil,Consumption Pattern,matching_2021_records,41
consumption_pattern_2021_to_2022_raw_value_match,Middle distillates,Consumption Pattern,matching_2021_records,38
consumption_pattern_2021_to_2022_raw_value_match,Residual fuel oil,Consumption Pattern,matching_2021_records,42
consumption_pattern_2021_to_2022_raw_value_match,Total gas oil production,Consumption Pattern,matching_2021_records,38
consumption_pattern_2021_to_2022_raw_value_match,Total oil production,Consumption Pattern,matching_2021_records,38
consumption_pattern_2021_to_2022_raw_value_match,Total oil products production,Consumption Pattern,matching_2021_records,38
