country_name,year,observation_count
Australia,2021,30
Australia,2022,15
Australia,2023,21
Austria,2021,30
Austria,2022,15
Austria,2023,21
Belgium,2021,30
Belgium,2022,15
Belgium,2023,21
Canada,2021,30
Canada,2022,15
Canada,2023,21
Chile,2021,30
Chile,2022,15
Chile,2023,21
Czech Republic,2021,30
Czech Republic,2022,15
Czech Republic,2023,21
Denmark,2021,30
Denmark,2022,15
Denmark,2023,21
Estonia,2021,30
Estonia,2022,15
Estonia,2023,21
Finland,2021,30
Finland,2022,15
Finland,2023,21
France,2021,30
France,2022,15
France,2023,21
Germany,2021,30
Germany,2022,15
Germany,2023,21
Greece,2021,30
Greece,2022,15
Greece,2023,21
Hungary,2021,30
Hungary,2022,15
Hungary,2023,21
Iceland,2021,30
Iceland,2022,15
Iceland,2023,21
Ireland,2021,30
Ireland,2022,15
Ireland,2023,21
Israel,2021,30
Israel,2022,15
Israel,2023,21
Italy,2021,30
Italy,2022,15
Italy,2023,21
Japan,2021,30
Japan,2022,15
Japan,2023,21
Latvia,2021,30
Latvia,2022,15
Latvia,2023,21
Lithuania,2021,30
Lithuania,2022,15
Lithuania,2023,21
Luxembourg,2021,30
Luxembourg,2022,15
Luxembourg,2023,21
Mexico,2021,30
Mexico,2022,15
Mexico,2023,21
Netherlands,2021,30
Netherlands,2022,15
Netherlands,2023,21
New Zealand,2021,30
New Zealand,2022,15
New Zealand,2023,21
Norway,2021,30
Norway,2022,15
Norway,2023,21
Poland,2021,30
Poland,2022,15
Poland,2023,21
Portugal,2021,30
Portugal,2022,15
Portugal,2023,21
Slovakia,2021,30
Slovakia,2022,15
Slovakia,2023,21
Slovenia,2021,30
Slovenia,2022,15
Slovenia,2023,21
South Korea,2021,30
South Korea,2022,15
South Korea,2023,21
Spain,2021,30
Spain,2022,15
Spain,2023,21
Sweden,2021,30
Sweden,2022,15
Sweden,2023,21
Switzerland,2021,30
Switzerland,2022,15
Switzerland,2023,21
Türkiye,2021,30
Türkiye,2022,15
Türkiye,2023,21
United Kingdom,2021,30
United Kingdom,2022,15
United Kingdom,2023,21
United States,2021,30
United States,2022,15
United States,2023,21
