product,flow,year,observation_count
Crude oil,Consumption Pattern,2021,72
Crude oil,Consumption Pattern,2022,36
Crude oil,Consumption Pattern,2023,36
Crude oil,Industrial Production,2021,72
Crude oil,Industrial Production,2022,36
Crude oil,Industrial Production,2023,36
Crude oil,Storage Channelization,2023,36
Gasoline and diesel,Net Deliveries,2021,72
Gasoline and diesel,Net Deliveries,2022,36
Gasoline and diesel,Net Deliveries,2023,36
Liquified Petroleum Gas,Net Deliveries,2021,72
Liquified Petroleum Gas,Net Deliveries,2022,36
Liquified Petroleum Gas,Net Deliveries,2023,36
Middle distillates,Consumption Pattern,2021,72
Middle distillates,Consumption Pattern,2022,36
Middle distillates,Consumption Pattern,2023,36
Middle distillates,Storage Channelization,2023,36
Naphtha,Net Deliveries,2021,72
Naphtha,Net Deliveries,2022,36
Naphtha,Net Deliveries,2023,36
Other oil products,Net Deliveries,2021,72
Other oil products,Net Deliveries,2022,36
Other oil products,Net Deliveries,2023,36
Residual fuel oil,Consumption Pattern,2021,72
Residual fuel oil,Consumption Pattern,2022,36
Residual fuel oil,Consumption Pattern,2023,36
Residual fuel oil,Net Deliveries,2021,72
Residual fuel oil,Net Deliveries,2022,36
Residual fuel oil,Net Deliveries,2023,36
Residual fuel oil,Storage Channelization,2023,36
Total gas oil production,Consumption Pattern,2021,72
Total gas oil production,Consumption Pattern,2022,36
Total gas oil production,Consumption Pattern,2023,36
Total gas oil production,Net Deliveries,2021,72
Total gas oil production,Net Deliveries,2022,36
Total gas oil production,Net Deliveries,2023,36
Total gas oil production,Storage Channelization,2023,36
Total kerosene production,Net Deliveries,2021,72
Total kerosene production,Net Deliveries,2022,36
Total kerosene production,Net Deliveries,2023,36
Total oil production,Consumption Pattern,2021,72
Total oil production,Consumption Pattern,2022,36
Total oil production,Consumption Pattern,2023,36
Total oil production,Storage Channelization,2023,36
Total oil products production,Consumption Pattern,2021,72
Total oil products production,Consumption Pattern,2022,36
Total oil products production,Consumption Pattern,2023,36
Total oil products production,Net Deliveries,2021,72
Total oil products production,Net Deliveries,2022,36
Total oil products production,Net Deliveries,2023,36
Total oil products production,Storage Channelization,2023,36
