product,observation_count,percentage_of_all_records
Crude oil,324,13.636363636363637
Residual fuel oil,324,13.636363636363637
Total gas oil production,324,13.636363636363637
Total oil products production,324,13.636363636363637
Middle distillates,180,7.575757575757576
Total oil production,180,7.575757575757576
Gasoline and diesel,144,6.0606060606060606
Liquified Petroleum Gas,144,6.0606060606060606
Naphtha,144,6.0606060606060606
Other oil products,144,6.0606060606060606
Total kerosene production,144,6.0606060606060606
